comments,is_prompt_exists
"[2004, 663, 1088, 574, 1783, 4916, 5022, 85, 574, 1398, 1769, 3449, 3359, 5286, 1026, 5345, 3247, 4916, 827, 2980, 110]",0
"[5373, 110, 4866, 2799, 2566, 4853, 3242, 2620, 574, 2738, 60, 1242, 574, 1783, 4916, 2155, 110]",0
"[5373, 85, 4853, 1115, 2729, 3868, 4916, 827, 1559, 685, 2738, 5339, 685, 1979, 110, 4853, 3926, 85, 5286, 5241, 4853, 2293, 3347, 4853, 3733, 2374, 835, 1712, 5169, 5265, 574, 2729, 441, 2299, 1399, 110]",0
"[2477, 4870, 4876, 3733, 2729, 569, 2018, 3733, 5286, 484, 3414, 2070, 820, 3359, 4853, 3685, 4609, 85, 4453, 2477, 558, 3302, 4721, 2500, 4860, 2374, 4464, 1073, 1618, 4916, 4366, 381]",0
"[4860, 60, 3302, 3203, 3877, 2164, 3042, 4916, 3994, 5276, 2786, 4179, 85, 947, 5367, 2380, 398, 2966, 3347, 5333, 4916, 1697, 4916, 2261, 2738, 4916, 398, 3566, 5281, 4876, 971, 827, 3788, 2700, 4331, 110]",0
"[4406, 4876, 2729, 398, 4836, 3733, 85, 4860, 2729, 3273, 3869, 1577, 110, 947, 4853, 4839, 4273, 4916, 827, 4397, 2556, 5276, 4866, 5306, 426, 110]",0
"[4853, 3223, 663, 3818, 2709, 685, 2477, 4870, 4866, 2380, 2158, 2299, 1123, 3640, 574, 1577, 3505, 5288, 2532, 4854, 3733, 110, 534, 2229, 663, 3221, 2009, 574, 2411, 2477, 1697, 3214, 4870, 4860, 2729, 585, 2735, 3943, 4876, 4264, 110]",0
"[1026, 398, 2966, 110, 2738, 4194, 4853, 4027, 4127, 3316, 110]",0
"[5373, 85, 4853, 1577, 616, 4916, 827, 4481, 110, 4853, 4217, 959, 574, 1382, 2003, 2729, 2281, 2556, 1595, 110]",0
"[4853, 5356, 2729, 2029, 2019, 85, 1403, 1920, 1595, 3347, 804, 2620, 85, 4853, 3733, 85, 4853, 1610, 3572, 85, 574, 1915, 1598, 3359, 1769, 5047, 4813, 110]",0
"[3451, 5339, 85, 3495, 1754, 4776, 663, 634, 4853, 1372, 1136, 574, 4366, 5069, 4315, 2207, 1445, 4776, 110, 3273, 1898, 969, 5069, 5279, 3009, 4836, 4853, 2070, 110, 4276, 4916, 827, 534, 5337, 685, 2670, 85, 2322, 2759, 110]",0
"[398, 2842, 3320, 86, 250, 81, 1163, 5275, 3336]",0
"[2477, 48, 2380, 4916, 3994, 3365, 3347, 3210, 4562, 4851, 2477, 2380, 545, 5105, 836, 947, 2738, 1092, 2000, 4853, 3810, 110, 4853, 1577, 4276, 4916, 827, 5169, 1088, 685, 4853, 5099, 3347, 3746, 2139, 1037, 4851, 1398, 539, 1920, 3626, 2896, 5285, 4469, 2364, 3397, 3302, 574, 5276, 5345, 827, 4853, 1382, 4080, 2164, 4851, 5286, 2996, 4853, 1577, 5169, 4397, 4916, 5022, 574, 4853, 3861, 971, 1781, 1217, 4853, 2139, 3347, 4853, 1577, 5125, 4876, 2140, 110, 4853, 3668, 3347, 5005, 1618, 2410, 2556, 3672, 4853, 4064, 3347, 4853, 4614, 85, 2659, 574, 4744, 60, 1915, 3188, 1800, 110]",0
"[5373, 110, 4853, 1577, 1698, 3068, 1923, 4851, 4853, 3701, 4560, 693, 4855, 4916, 110]",0
"[4866, 5236, 4916, 2015, 813, 2223, 574, 2983, 2527, 291, 3260, 2222, 3359, 813, 4866, 2380, 2215, 1996, 2463, 4866, 5306, 2527, 4855, 2556, 397, 2528, 9, 5286, 2729, 5271, 574, 1783, 4916, 2155, 110, 947, 4866, 2799, 2240, 398, 916, 1572, 3347, 4854, 2527, 3572, 110, 3863, 2896, 3042, 3040, 5322, 4464, 1785, 998, 4673, 685, 5306, 787, 812, 827, 3981, 2500, 4853, 3961, 706, 2729, 1528, 574, 2164, 397, 2299, 4787, 9, 809, 5276, 2500, 238, 3397, 3188, 4788, 703, 4876, 809, 4916, 398, 4614, 2653, 3347, 2799, 3365, 4787, 85, 2556, 4876, 996, 5306, 4853, 4614, 2264, 3188, 4849, 189, 809, 2500, 652, 381]",0
"[2322, 5333, 4, 1923, 2729, 5269, 85, 534, 4265, 663, 1574, 4916, 4853, 3595, 110, 4866, 2380, 470, 4853, 4836, 3572, 574, 3188, 5209, 520, 4406, 4853, 3685, 4650, 110]",0
"[5373, 4853, 4781, 2374, 2530, 4813, 998]",0
"[5169, 2426, 2882, 1572, 3359, 4813, 3572, 110, 3247, 4916, 2292, 2700, 3188, 1598, 110]",0
"[1404, 4853, 2103, 3733, 1572, 3521, 85, 2322, 5333]",0
"[4853, 3330, 2374, 835, 1092, 4559, 947, 4860, 2729, 3273, 476, 2620, 3961, 4916, 588, 1828, 85, 4860, 2729, 3273, 4813, 3572, 85, 3273, 2518, 3397, 1623]",0
"[4992, 5005, 1618, 2410, 5185, 4916, 1645, 4853, 3710, 3154, 110]",0
"[4958, 935, 2374, 3488, 574, 547, 4860, 663, 3273, 3079, 1262, 110]",0
"[5373, 110, 4853, 1623, 2164, 959, 663, 5169, 2406, 110]",0
"[4853, 5353, 4373, 5276, 3248, 4916, 827, 1712, 85, 5276, 5241, 1712, 85, 574, 4853, 4082, 3347, 1710, 2738, 110, 4876, 2729, 398, 1088, 574, 1242, 641, 4916, 4853, 3733, 110]",0
"[1568, 1923, 2556, 4853, 4027, 1698, 5169, 5265, 110]",0
"[1158, 2556, 4853, 1115, 663, 3132, 110]",0
"[4853, 760, 2380, 3631, 398, 2966, 3347, 3559, 574, 2139, 1623, 1999, 4853, 4457, 110, 4876, 2996, 4853, 4457, 1088, 2164, 398, 4109, 110, 4866, 2380, 1568, 4853, 1577, 4594, 5317, 2139, 1037, 5286, 2729, 3266, 110]",0
"[5373, 4853, 1577, 1701, 2556, 1360, 4853, 4027, 1701, 4509, 1205]",0
"[4866, 2380, 3302, 1996, 5276, 4866, 5306, 1697, 110, 4866, 2380, 2799, 470, 4853, 2518, 574, 3307, 1828, 110, 4853, 760, 3250, 4916, 5074, 4853, 1115, 2164, 5095, 4916, 5022, 5276, 4866, 5236, 4916, 1697, 110]",0
"[3559, 5275, 3359, 3595, 574, 3248]",0
"[3273, 5209, 3242, 85, 947, 4853, 760, 3770, 3365, 589, 110, 2477, 639, 4851, 5375, 5274, 3431, 574, 406, 85, 574, 2477, 5314, 2477, 1386, 2280, 5375, 3188, 4849, 315, 3599, 2164, 4876, 831, 4853, 5218, 663, 2322, 4]",0
"[5288, 4853, 1026, 4916, 827, 2980, 663, 5265, 4016, 5217, 85, 4853, 4781, 2374, 3302, 3063, 2463, 4866, 663, 2296, 4916, 1024, 4853, 1115, 110, 4860, 2729, 3273, 3061, 3347, 585, 1577, 3505, 4851, 4866, 2669, 4916, 5099, 110]",0
"[5373, 85, 2477, 849, 4853, 1577, 1698, 2729, 3680, 4397, 110]",0
"[1399, 2585, 85, 4839, 3487, 110]",0
"[3273, 646, 1073, 1618, 2729, 470, 85, 4860, 663, 2967, 3347, 4244, 2653, 85, 947, 4880, 4244, 663, 3302, 2406, 2164, 398, 1577, 1698, 110]",0
"[4853, 624, 5241, 1559, 3359, 4853, 2413, 4327, 574, 2738, 5339, 1376, 110]",0
"[4853, 3263, 470, 1115, 3370, 2567, 1025, 3107, 5286, 1378, 4853, 1896, 574, 1026, 888, 3845, 4916, 889, 574, 4896, 4860, 663, 3273, 470, 5148, 110, 4863, 2477, 5345, 4202, 534, 4853, 5146, 3223, 663, 4528, 3359, 574, 1556, 2675, 110]",0
"[485, 2003, 5241, 3770, 3359, 4853, 2074, 4851, 663, 4916, 827, 470, 110, 1923, 2207, 4853, 3701, 4560, 4916, 4853, 3757, 4457, 4916, 4853, 4813, 3572, 5241, 1996, 110, 547, 85, 4853, 1026, 5275, 1996, 2556, 398, 4397, 3007, 574, 2477, 2348, 3273, 4977, 2160, 5276, 4866, 2348, 5359, 110, 2464, 85, 2738, 5345, 2380, 835, 860, 2500, 4853, 2003, 5241, 1197, 950, 5005, 1623, 110, 2411, 2283, 398, 291, 110]",0
"[4853, 890, 2223, 5241, 925, 4863, 3045, 4876, 4364, 827, 1559, 4916, 2122, 4853, 2735, 110]",0
"[299, 5275, 3336, 3359, 2908, 2556]",0
"[5288, 4853, 1026, 4916, 827, 2980, 663, 5265, 4016, 5217, 85, 4853, 4781, 2374, 3302, 3063, 2463, 4866, 663, 2296, 4916, 1024, 4853, 1115, 110, 4860, 2729, 3273, 3061, 3347, 585, 1577, 3505, 4851, 4866, 2669, 4916, 5099, 110]",0
"[1577, 2729, 3746, 574, 4276, 4916, 827, 398, 2299, 574, 4402, 641, 4916, 4460, 4853, 4909, 2164, 4614, 4653, 110]",0
"[4853, 756, 2374, 1568, 2738, 5169, 5265, 110, 2738, 2983, 2729, 3523, 2553, 110, 555, 4866, 2380, 2281, 4851, 4866, 3247, 4916, 3914, 3320, 3347, 4533, 968, 85, 4866, 2380, 3302, 2281, 2643, 2700, 2463, 4866, 663, 2296, 4916, 1697, 2738, 110]",0
"[685, 2061, 685, 4853, 2223, 2295, 85, 4853, 1577, 1698, 1404, 2738, 574, 2738, 4276, 4916, 2565, 534, 1598, 3273, 3035, 2463, 4432, 110, 2477, 1386, 3214, 2107, 588, 4851, 2729, 3132, 820, 3359, 4853, 4026, 4493, 110, 4453, 85, 5265, 1712, 4]",0
"[5373, 110, 398, 2966, 3347, 3260, 1163, 508, 237, 4145, 110]",0
"[4853, 5356, 2000, 4853, 3882, 2164, 4853, 696, 4853, 760, 1025, 3397, 2704, 2556, 4854, 3733, 110, 4866, 2380, 5105, 4853, 2040, 1577, 3503, 574, 4853, 2528, 2729, 1372, 574, 490, 4853, 3689, 3347, 4876, 1577, 3503, 110]",0
"[685, 398, 4836, 3733, 85, 4876, 2528, 5339, 5169, 5265, 4916, 3237, 1960, 4813, 4853, 3154, 4, 4890, 4853, 5172, 4866, 4366, 85, 4860, 663, 398, 2082, 3095, 3302, 4834, 950, 4853, 4493, 2090, 85, 947, 3190, 3347, 4853, 696, 3347, 4853, 1115, 663, 85, 574, 4453, 2477, 4870, 4866, 1628, 398, 2322, 2759, 2556, 4876, 3942, 4]",0
"[4853, 5001, 5339, 685, 1979, 110, 1596, 4244, 574, 1572, 2281, 3359, 4853, 5302, 3449, 2980, 2738, 1783, 4916, 4102, 110, 3359, 4726, 4916, 4614, 5176, 85, 4853, 2742, 3347, 4614, 5176, 663, 1679, 574, 4860, 2729, 4101, 4916, 2657, 5176, 110]",0
"[4853, 760, 2380, 1712, 398, 2299, 2759, 5317, 4853, 5353, 2556, 1990, 5302, 110, 534, 4853, 3971, 4265, 663, 3669, 2556, 4853, 5356, 110, 547, 4853, 4265, 663, 1596, 2556, 1999, 4853, 4839, 110]",0
"[2477, 3538, 1697, 3214, 4870, 4876, 3810, 2729, 4851, 2049, 110, 2500, 2738, 5241, 545, 3520, 2477, 1697, 3214, 4870, 2738, 4364, 3035, 2500, 5375, 470, 3010, 3397, 3294, 737, 534, 110, 2464, 85, 4406, 5377, 3733, 1628, 2380, 398, 2082, 3703, 5375, 1628, 3247, 4916, 2122, 4631, 110, 3370, 189, 1160, 5241, 470, 110, 5288, 2738, 4274, 4916, 2380, 2122, 3190, 4869, 85, 860, 3726, 3640, 5345, 2380, 3699, 4525, 4851, 189, 1160, 2700, 4344, 4433, 1163, 110]",0
"[4853, 756, 2374, 4670, 3800, 2556, 398, 3787, 4019, 4916, 1990, 110, 2232, 85, 4853, 1115, 4670, 2585, 1399, 110, 4853, 1115, 2749, 2729, 5265, 5359, 5317, 5148, 574, 3095, 847, 3221, 647, 110]",0
"[2299, 5209, 2620, 2374, 835, 3770, 110, 2500, 398, 2139, 1036, 1554, 4853, 5154, 4541, 2164, 1769, 3701, 5345, 2380, 835, 398, 2299, 2486, 110]",0
"[2207, 5276, 2477, 971, 4267, 85, 4853, 1577, 4276, 4916, 2380, 4759, 2700, 433, 534, 3347, 4853, 4025, 2222, 110, 4853, 1701, 2348, 569, 2003, 3359, 2463, 1769, 2223, 5241, 2296, 4916, 827, 2530, 574, 547, 3770, 4853, 1382, 3151, 110, 2477, 558, 3918, 398, 3595, 831, 3223, 3347, 4853, 2094, 4916, 827, 3169, 5275, 3302, 3063, 574, 3370, 4853, 2223, 5241, 1996, 110]",0
"[3273, 3260, 1163, 2380, 835, 470, 950, 4876, 4781, 110, 4853, 2844, 1160, 2980, 2729, 3359, 266, 3014, 5286, 5241, 4853, 2844, 1471, 4916, 4654, 2164, 4853, 2115, 4145, 110]",0
"[1450, 4860, 2729, 3307, 405, 4853, 1123, 695, 3347, 1030, 4865, 3450, 574, 5276, 4853, 3572, 2729, 4916, 3680, 4855, 5069, 110, 4406, 4876, 2729, 2799, 1030, 1964, 1115, 3359, 1990, 85, 4860, 663, 3273, 1583, 2164, 3260, 1075, 4851, 3250, 4916, 827, 4106, 2164, 4876, 3733, 110]",0
"[5169, 5265, 5359, 574, 5169, 3338, 2463, 3203, 3347, 569, 2521, 4853, 3926, 2348, 110]",0
"[5373, 110, 4866, 2980, 398, 3787, 4019, 574, 1399, 5306, 2582, 78, 83, 6, 79, 4916, 309, 6, 5279, 3789, 85, 947, 3365, 1038, 2729, 3302, 4669, 375, 4853, 1115, 4273, 4916, 2380, 4916, 4392, 879, 3247, 3926, 110, 4876, 4781, 2729, 5337, 3359, 5047, 4813, 2164, 398, 3154, 85, 4453, 4854, 3787, 4019, 2799, 2565, 3365, 3263, 470, 4494, 2090, 5286, 2729, 1372, 110, 2477, 24, 3061, 398, 3119, 3701, 375, 4853, 397, 1566, 9, 2423, 4609, 2729, 3302, 5105, 3748, 110, 685, 4277, 2556, 4854, 1115, 85, 4866, 5105, 397, 1566, 9, 85, 397, 1567, 9, 85, 397, 1306, 9, 3397, 397, 1305, 9, 2164, 3365, 397, 2738, 9, 878, 110, 2738, 60, 3302, 1088, 5276, 4853, 1635, 663, 110]",0
"[5373, 85, 534, 4853, 2223, 663, 1402, 2556, 4853, 1577, 1701, 110]",0
"[4406, 4876, 3733, 2729, 3961, 474, 4011, 110, 4853, 1583, 663, 2983, 5001, 1026, 110, 4853, 760, 2380, 2281, 569, 624, 2139, 3347, 4854, 1026, 110, 4853, 1577, 3347, 4853, 2139, 4276, 3878, 110, 4866, 2380, 547, 3770, 3146, 1577, 2518, 4851, 663, 5169, 2406, 110]",0
"[4853, 760, 2380, 5169, 1092, 3063, 5276, 4853, 1026, 4916, 827, 2980, 663, 110, 4866, 2380, 4610, 4853, 1701, 5169, 5265, 4555, 5317, 4853, 3846, 845, 4854, 1050, 3347, 1577, 574, 5274, 3372, 1994, 4854, 2528, 3572, 574, 4813, 3572, 110, 2299, 5333, 4]",0
"[4853, 5352, 5069, 85, 5288, 2738, 2000, 5276, 4853, 760, 3733, 1707, 85, 2738, 1707, 3214, 3876, 1994, 5297, 4853, 756, 1628, 5276, 2387, 1628, 110, 4916, 827, 2049, 85, 4853, 4577, 663, 5265, 5359, 2556, 4853, 3733, 1572, 574, 1565, 2556, 1595, 5276, 4853, 756, 5241, 1710, 110, 2164, 4876, 3877, 85, 2738, 4276, 5276, 4853, 756, 2374, 5359, 2729, 646, 110, 1283, 2477, 1697, 3214, 3876, 5022, 4174, 3397, 3199, 85, 2738, 2729, 2366, 2164, 3042, 4916, 1489, 2500, 1577, 3506, 663, 2530, 647, 110, 4851, 847, 4179, 85, 4853, 1115, 3670, 2556, 4853, 5352, 5069, 4276, 646, 574, 5265, 5359, 4916, 4853, 2021, 4851, 2477, 971, 5022, 2738, 110]",0
"[4853, 1115, 2729, 1783, 4916, 5022, 574, 2161, 4853, 2299, 3824, 1123, 3640, 110]",0
"[2477, 1697, 3214, 4267, 5281, 2556, 4853, 5302, 5286, 2000, 2463, 5375, 1580, 2738, 85, 2653, 2738, 2000, 1636, 1213, 3347, 398, 809, 574, 4866, 5333, 110]",0
"[4866, 1628, 464, 4813, 998, 85, 685, 4851, 4276, 4916, 827, 4853, 1436, 3347, 4876, 3733, 110, 4866, 5275, 404, 4916, 2582, 4853, 4813, 1399, 4916, 367, 6, 5286, 2729, 3680, 2547, 574, 2299, 85, 4673, 4851, 4853, 1990, 4781, 5306, 2380, 398, 2299, 2882, 3347, 736, 4851, 4853, 1115, 4851, 5241, 4834, 1707, 5276, 2738, 4364, 1697, 574, 1707, 3214, 910, 3414, 666, 3347, 1990, 110, 4866, 1398, 4853, 5295, 3839, 3347, 5276, 3362, 1707, 85, 1901, 4916, 3883, 4673, 398, 2426, 566, 3347, 1399, 685, 398, 4080, 110]",0
"[4853, 3320, 3347, 1163, 3359, 2267, 2729, 2547, 110, 2738, 2958, 2896, 4853, 4781, 2374, 835, 5337, 3359, 2738, 3952, 110, 2464, 85, 4853, 3320, 3347, 1163, 950, 1769, 3059, 3347, 4853, 4781, 2729, 4420, 574, 2738, 1707, 3302, 4273, 2896, 4853, 5333, 2374, 835, 1693, 1892, 110, 4876, 1386, 2380, 835, 2802, 950, 4565, 5276, 5333, 1769, 3059, 1628, 2556, 4853, 3865, 110]",0
"[4866, 5099, 398, 1618, 4916, 4366, 2463, 5306, 4854, 3733, 5333, 85, 4851, 60, 3680, 2299, 2164, 3861, 4916, 5022, 4853, 3733, 3793, 110, 547, 85, 4866, 5099, 4464, 2518, 4916, 4366, 5276, 4853, 5256, 2958, 2896, 737, 4853, 1853, 3347, 4876, 3733, 110]",0
"[5373, 85, 4853, 1577, 616, 4916, 827, 4397, 947, 2567, 534, 4853, 3242, 4027]",0
"[4860, 2729, 3214, 585, 4813, 3572, 730, 5317, 4853, 5356, 110, 2411, 5008, 4916, 1153, 3359, 2738, 110]",0
"[5373, 110, 4276, 2896, 534, 4853, 4265, 663, 3669, 574, 1996, 110]",0
"[3302, 3876, 110, 4866, 4179, 5276, 60, 2296, 4916, 827, 4978, 405, 4853, 4733, 511, 85, 947, 2477, 50, 3302, 4721, 2463, 4866, 58, 2296, 4916, 2993, 585, 3347, 4851, 2361, 110, 4860, 5241, 398, 2322, 566, 3347, 2003, 405, 4853, 4217, 2182, 85, 5286, 4364, 827, 112, 3041, 3365, 3397, 4992, 2906, 3347, 1115, 85, 965, 2738, 2191, 4916, 827, 2260, 381]",0
"[4406, 4876, 2729, 398, 4836, 3733, 85, 2477, 1697, 3302, 1976, 4781, 4916, 4366, 3010, 3559, 2412, 110, 947, 4866, 2348, 398, 1618, 4916, 4366, 2463, 4464, 2229, 2680, 5317, 5317, 1769, 3414, 110]",0
"[4853, 5352, 5069, 2729, 3876, 5265, 5359, 574, 4866, 2380, 1996, 4853, 2229, 574, 4210, 5265, 5125, 3559, 2556, 4854, 5302, 2907, 110, 2738, 2729, 3876, 2406, 2164, 398, 4109, 4916, 5022, 4853, 5337, 3347, 4853, 2229, 574, 2463, 4853, 760, 2380, 643, 4916, 5358, 4813, 998, 2164, 4853, 2220, 574, 4853, 760, 4273, 4916, 2380, 1712, 398, 2299, 2759, 2556, 1999, 4865, 4869, 110]",0
"[4876, 4781, 1628, 398, 2322, 2759, 2532, 4853, 3260, 4614, 5176, 110, 2477, 1628, 3214, 2107, 585, 1749, 3703, 110, 4853, 3226, 663, 2556, 430, 5317, 4853, 1123, 1342, 2164, 4164, 110]",0
"[4881, 4853, 5352, 5069, 2000, 4853, 2223, 4851, 2729, 470, 85, 2738, 1707, 3302, 2565, 585, 4506, 3505, 4851, 2729, 5105, 2164, 4853, 1610, 110]",0
"[4853, 1115, 2729, 3302, 3669, 3347, 4853, 1964, 5333, 1712, 110, 4453, 2738, 2729, 2366, 4916, 1911, 5285, 4853, 1115, 5306, 832, 4439, 110, 555, 2207, 4853, 1577, 1698, 2738, 2729, 2366, 4916, 4202, 5285, 4853, 5333, 971, 827, 1712, 5125, 1964, 3448, 85, 947, 2500, 4860, 663, 4853, 760, 4364, 5099, 4880, 110]",0
"[4853, 1115, 2374, 1042, 4853, 1785, 998, 85, 4853, 2223, 5339, 685, 1979, 110]",0
"[2477, 4870, 4866, 1628, 569, 1939, 2759, 1901, 4866, 4879, 1200, 4853, 758, 3347, 1334, 950, 5125, 397, 837, 9, 947, 4860, 58, 4581, 398, 2082, 2134, 375, 204, 2729, 3273, 5139, 2164, 1180, 751, 1941, 2164, 1180, 3219, 110, 244, 5110, 3154, 85, 5110, 4364, 3302, 397, 851, 9, 1180, 831, 398, 5110, 971, 827, 398, 2759, 4270, 5293, 1707, 3214, 2380, 4673, 398, 2167, 2813, 110, 78, 5375, 3040, 464, 397, 3394, 375, 4978, 9, 4916, 397, 851, 375, 1180, 9, 79, 281, 4853, 3472, 397, 393, 9, 3347, 5110, 5176, 85, 4853, 1180, 4290, 2084, 5306, 827, 4372, 2556, 898, 3897, 574, 2759, 4270, 4390, 5176, 574, 2993, 1053, 398, 1180, 3003, 110, 78, 5375, 3040, 1411, 398, 3822, 948, 2164, 4289, 4135, 574, 398, 2500, 4560, 836, 1180, 4290, 2084, 79]",0
"[3273, 4839, 470, 737, 534, 112, 4181, 685, 4853, 2115, 4901, 110]",0
"[4406, 4145, 189, 4102, 2991, 3347, 4853, 5333, 2729, 1712, 574, 4853, 761, 2380, 1282, 534, 4853, 4813, 998, 685, 3063, 2556, 4854, 5302, 110, 4853, 1399, 2374, 2583, 574, 4860, 663, 3273, 1262, 2556, 4853, 3787, 4019, 110]",0
"[4876, 1115, 2729, 5265, 3868, 4916, 827, 1559, 3372, 4853, 3716, 4327, 110, 685, 3063, 406, 85, 5288, 2738, 1707, 3214, 4813, 1923, 3361, 2374, 85, 2738, 4839, 3188, 3359, 4853, 2542, 3095, 3361, 5124, 3353, 2164, 1990, 110, 2500, 2234, 4789, 5238, 4916, 1971, 5087, 4876, 85, 4866, 5345, 3214, 2380, 3203, 5333, 4916, 1697, 4916, 2582, 4853, 1399, 85, 947, 4866, 1386, 2527, 5377, 998, 3347, 1281, 3063, 2556, 5377, 5356, 110]",0
"[4860, 5275, 3214, 3010, 3703, 5317, 4853, 1115, 5317, 4045, 4916, 5146, 3223, 85, 2220, 4416, 85, 1908, 110, 4853, 3370, 3701, 4851, 5241, 3063, 5241, 2832, 3347, 1158, 110, 508, 3337, 4853, 1115, 85, 2477, 4267, 4851, 4853, 4781, 2374, 470, 398, 2082, 3188, 1158, 4916, 1815, 4853, 5276, 4853, 1115, 1707, 574, 2380, 547, 1025, 4464, 3092, 3223, 4916, 2993, 4855, 3188, 4694, 3347, 4854, 2223, 110]",0
"[5373, 85, 4853, 1301, 3347, 4853, 1577, 2729, 5269, 574, 5271, 85, 1923, 2729, 2748, 3566, 110]",0
"[4853, 1577, 2958, 2299, 574, 4234, 4362, 547, 2958, 2299, 110]",0
"[5373, 85, 4853, 4781, 1628, 569, 1939, 2759, 1243, 1999, 5276, 4853, 3701, 2729, 574, 5276, 4866, 3247, 4916, 1024, 4916, 1860, 4853, 5212, 2164, 2659, 110]",0
"[192, 4853, 4813, 3572, 2729, 1199, 110, 241, 4853, 4781, 2374, 1996, 2463, 4853, 2037, 663, 1416, 110, 275, 4853, 4781, 2374, 2566, 4853, 2003, 3347, 398, 2082, 5047, 4839, 2164, 5027, 110]",0
"[4853, 5356, 2729, 5169, 5265, 1704, 110, 4853, 5302, 2000, 5169, 5265, 4853, 2223, 3347, 4853, 1115, 574, 5276, 4853, 3733, 1707, 110, 4853, 5302, 2374, 3302, 3063, 4853, 4813, 998, 574, 2463, 4866, 5345, 2896, 4916, 4813, 4854, 1115, 110, 4860, 2729, 3302, 2234, 4216, 3669, 2556, 4853, 5302, 110]",0
"[3899, 1330, 616, 5265, 938, 3418, 85, 4881, 2477, 1628, 3302, 4267, 585, 1200, 3154, 4839, 110]",0
"[4853, 2220, 2729, 3302, 2952, 737, 534, 110, 574, 4866, 663, 3267, 5359, 85, 1783, 4916, 3857, 574, 1783, 4916, 5022, 110]",0
"[398, 822, 4813, 3572, 2729, 2566, 5286, 2477, 2078, 4839, 534, 4853, 1903, 1026, 847, 2980, 110]",0
"[4853, 5356, 1092, 2000, 2463, 574, 5297, 4853, 760, 1628, 4853, 5333, 4853, 5244, 4866, 1628, 110, 1092, 2464, 85, 4866, 2348, 398, 3326, 2259, 4577, 4851, 663, 4025, 836, 1324, 4897, 585, 3374, 4484, 3733, 110, 2164, 1931, 85, 3365, 3347, 4853, 4577, 5241, 375, 397, 5027, 4853, 4331, 2528, 110, 9, 4876, 2729, 4025, 2164, 587, 1324, 4916, 4331, 110, 685, 398, 4080, 85, 2738, 2729, 5056, 2556, 4853, 5356, 574, 4760, 4853, 3863, 748, 792, 2207, 4853, 1598, 3347, 4853, 1325, 110]",0
"[4853, 756, 1697, 3302, 3061, 405, 4839, 4866, 2380, 1253, 2556, 4853, 3733, 110, 555, 4860, 2729, 398, 4813, 3572, 4264, 85, 2738, 2729, 3302, 1088, 5276, 4813, 1000, 663, 847, 4834, 110, 4836, 3104, 547, 827, 3418, 3347, 4853, 4216, 3347, 4876, 3733, 110]",0
"[4853, 890, 2223, 5241, 925, 4863, 3045, 4876, 4364, 827, 1559, 4916, 2122, 4853, 2735, 110]",0
