Comments,Mentions_Problem
"[7047, 5671, 3050, 4082, 4844, 4429, 1400, 7047, 2357, 144, 7047, 2306, 4082, 4844, 1772, 144, 7773, 4082, 2513, 4082, 4044, 1377, 3839, 144]",1
"[6516, 3872, 4099, 3814, 7047, 5499, 2814, 3814, 3880, 3872, 4082, 4844, 5517, 144, 6583, 4620, 2814, 3814, 3683, 7619, 3814, 3879, 193, 5396, 6577, 4082, 7933, 144]",1
"[7047, 6112, 1666, 1964, 3495, 1210, 3160, 5062, 7047, 5497, 144]",0
"[7047, 6940, 3157, 3395, 5375, 144, 4821, 5887, 4938, 7047, 1645, 144, 2561, 5430, 7525, 144, 3659, 117, 7068, 4082, 822, 2687, 1944, 7161, 117, 7791, 4082, 117, 7047, 1740, 144, 7772, 4082, 4125, 5566, 538]",1
"[7047, 4716, 6706, 4082, 3395, 117, 1377, 6516, 2345, 6376, 1197, 3805, 144]",0
"[8112, 3814, 552, 7709, 144, 7047, 6167, 3333, 1645, 3164, 1964, 144]",0
"[7047, 1645, 3164, 7047, 1739, 551, 6112, 4982, 5622, 9, 904, 6706, 527, 3547, 117, 4113, 7697, 2609, 3179, 4494, 7207, 4765, 7173, 5053, 3055, 7207, 6242, 5337, 4938, 7047, 1645, 144, 4113, 3164, 7047, 1739, 4716, 6706, 144, 3661, 117, 3814, 6516, 5153, 4938, 7047, 1645, 117, 1713, 7765, 4611, 7791, 7697, 1865, 986, 3696, 2378, 4723, 7387, 7047, 4357, 3179, 7037, 1645, 144, 5671, 3050, 7697, 4844, 5518, 2292, 3179, 5053, 7511, 4766, 7173, 879, 144]",0
"[7047, 904, 4082, 4671, 599, 7207, 7047, 6112, 5375, 1377, 4217, 7047, 7473, 4938, 6112, 3020, 6796, 986, 7561, 117, 1050, 831, 619, 5750]",1
"[7047, 1645, 4082, 7607, 7740, 7922, 117, 5518, 5036, 831, 3395, 953, 144, 4821, 5887, 144, 1873, 904, 4357, 7922, 3814, 1951, 117, 3179, 2814, 117, 3622, 117, 7791, 1428, 1197, 5336, 7207, 7047, 5968, 4649, 144]",1
"[7047, 1951, 957, 7754, 144]",0
"[5930, 7207, 3366, 4303, 7207, 7600, 7047, 6135]",1
"[7047, 1645, 3164, 551, 3395, 6112, 831, 5622, 1666, 5374, 9, 3245, 4718, 5315, 4938, 7619, 144]",0
"[3507, 7483, 2561, 5430, 144, 7047, 1645, 3495, 3395, 5659, 831, 3395, 4750, 1966, 957, 3157, 144, 3507, 3439, 6425, 3273, 4034, 1593, 6499, 7037, 4113, 4082, 4676, 144, 3507, 7483, 4123, 6796, 986, 2597, 3966, 4938, 3179, 831, 7804, 144]",0
"[7356, 4082, 1134, 831, 4044, 144, 5656, 4494, 3050, 4082, 788, 7740, 2292, 144]",0
"[7047, 5671, 4082, 2687, 831, 2494, 4844, 1908, 7047, 684, 601, 3900, 144, 4113, 80, 3486, 7207, 4765, 975, 7047, 4014, 831, 2354, 7783, 768, 7047, 3283, 4082, 144]",1
"[7352, 4378, 4811, 1377, 3696, 3219, 7047, 4113, 7207, 1197, 552, 1282, 1865, 144, 7047, 5832, 1259, 7492, 117, 3617, 3677, 831, 5699, 4082, 4844, 892, 144, 4113, 7896, 3541, 3723, 4113, 2017, 1197, 2893, 3814, 2339, 3814, 7047, 5671, 3050, 144]",1
"[7047, 4014, 7697, 6430, 144, 6516, 4938, 7047, 3045, 3922, 7765, 4844, 4517, 4285, 3179, 2074, 3617]",1
"[5930, 7207, 3366, 4303, 7207, 7600, 7047, 6135, 144, 1377, 3696, 2532, 7047, 7967, 3050, 7207, 6242, 3723, 7068, 4082, 684, 2083, 3814, 5671, 3050, 831, 4113, 7697, 4844, 7068, 144]",1
"[7047, 7492, 4014, 4082, 2609, 7207, 7473, 831, 7047, 5671, 3050, 4082, 2926, 144]",0
"[3429, 7352, 144, 684, 2142, 4378, 7607, 5479, 144]",0
"[1944, 6989, 1465, 3507, 1210, 2044, 117, 1377, 4821, 4639, 6989, 1465, 1428, 1197, 6255, 144]",1
"[7020, 2839, 3179, 7047, 1944, 1377, 4844, 4649, 144]",1
"[6556, 3150, 4082, 4844, 7068, 144, 7068, 957, 6516, 7020, 3814, 7047, 6989, 3150, 144]",1
"[3696, 7697, 561, 7207, 1534, 3179, 7047, 5699, 831, 3617, 3677, 144, 6516, 4938, 7047, 3283, 4938, 552, 5699, 831, 3631, 7765, 4723, 7878, 144]",1
"[7947, 7958, 3507, 7047, 7020, 7922, 144]",0
"[7047, 1194, 6989, 957, 7922, 144, 6516, 904, 6564, 7020, 1428, 1197, 7922, 144]",0
"[7068, 957, 4997, 3225, 1724, 7648, 831, 4821, 5517, 1717, 4545, 144, 3909, 1717, 3495, 373, 3050, 1516, 144]",1
"[768, 1724, 7765, 4409, 4982, 4986, 2150]",1
"[4113, 6253, 7037, 7068, 4082, 4997, 4986, 6940, 4510, 5574, 1516, 144]",0
"[4378, 4285, 7047, 6940, 3495, 1728, 7047, 5497, 986, 552, 7812, 144, 1359, 3110, 957, 2513, 3869, 144]",1
"[7047, 5497, 3495, 6791, 4738, 4113, 80, 7571, 831, 3268, 4743, 599, 7207, 7047, 5427, 144, 7076, 957, 7392, 3193, 7772, 7047, 4496, 144, 1377, 7047, 5497, 4217, 859, 2480, 4022, 117, 986, 7740, 986, 552, 5517, 2953, 5671, 3050, 144, 4214, 4938, 1645, 2480, 4438, 4113, 7243, 3179, 7047, 6037, 7207, 4435, 6287, 4938, 7047, 1645, 144, 873, 3245, 7037, 117, 7047, 2306, 4938, 7047, 2144, 6183, 4082, 4723, 4842, 7207, 4702, 2950, 117, 7791, 4438, 2143, 2755, 5774, 144]",1
"[7047, 4639, 831, 1944, 957, 7740, 2315, 144, 2597, 4557, 2047, 552, 6452, 3283, 4, 3395, 4149]",0
"[7047, 4716, 6706, 4082, 1774, 144, 831, 1192, 3295, 3507, 1210, 3089, 144]",0
"[3245, 7772, 3696, 6242, 4113, 4378, 4285, 1645, 7711, 3507, 6255, 3814, 1589, 144, 803, 3814, 7047, 4639, 1593, 117, 7076, 2466, 4723, 3507, 859, 1050, 1259, 4649, 144]",1
"[7047, 1645, 4126, 898, 7207, 1197, 7607, 1601, 4214, 4938, 6167, 104, 5026, 7047, 6701, 2530, 6167, 7037, 4113, 5409, 105, 4500, 7068, 80, 552, 4389, 4263, 2159, 1645, 3814, 7047, 3055, 144, 768, 7047, 3872, 831, 7573, 4743, 894, 7207, 3154, 1964, 986, 7740, 144, 7146, 1608, 117, 4982, 3306, 3955, 117, 894, 7207, 6654, 3245, 7047, 2972, 7037, 7047, 904, 3237, 2494, 4869, 4783, 3283, 144, 7047, 1645, 7037, 80, 7068, 4082, 1600, 7161, 144]",1
"[5082, 117, 7047, 1645, 4378, 3085, 144, 3395, 1645, 4082, 6271, 118, 6499, 117, 7959, 1645, 2017, 1197, 3805, 1402, 1713, 3814, 768, 5935, 5275, 144, 4435, 7473, 4961, 4356, 5547, 1400, 6081, 831, 1126, 7529, 551, 5576, 9, 3814, 1645, 144]",1
"[7047, 1645, 4082, 6709, 986, 5200, 1192, 5622, 4843, 144, 7047, 2103, 5013, 5013, 617, 2017, 3507, 3157, 7047, 7532, 4843, 7035, 2130, 617, 2212, 144, 7047, 6093, 1846, 2017, 3507, 1210, 4683, 2637, 2212, 7529, 4476, 7035, 2216, 2597, 6093, 6302, 144]",1
"[768, 7511, 3507, 7049, 5091, 4639, 1951, 144, 7047, 1645, 4082, 3161, 6112, 4982, 5622, 6617, 1377, 7068, 957, 6516, 2167, 551, 5576, 9, 7037, 6377, 5868, 144]",1
"[7047, 7492, 4014, 4082, 7607, 6430, 117, 1610, 831, 6682, 144, 1377, 4113, 4217, 2281, 7783, 4113, 6373, 3507, 1210, 2946, 144, 3179, 2814, 117, 726, 6415, 7446, 3179, 7047, 3094, 7189, 117, 7047, 7492, 4082, 2409, 1400, 7207, 7047, 4360, 5098, 7207, 4360, 733, 144, 7146, 4082, 4844, 7607, 7492, 3241, 117, 831, 4082, 5635, 5774, 144, 4986, 4712, 1116, 6404, 3814, 726, 2074, 822, 601, 144, 788, 117, 7047, 904, 6373, 2199, 7787, 3696, 62, 552, 5699, 5026, 552, 3631, 5026, 822, 684, 3245, 7047, 2674, 3702, 3696, 2744, 144, 3696, 6373, 1064, 4878, 3507, 7207, 6572, 3179, 3631, 5026, 5699, 563, 4718, 6064, 144]",1
"[7047, 7352, 4082, 1192, 986, 4938, 4878, 144, 7047, 84, 5482, 8, 4303, 4082, 1351, 144]",1
"[7047, 4014, 4082, 3395, 117, 1600, 831, 7607, 2609, 7207, 7473, 144]",0
"[7076, 957, 6430, 4312, 7207, 5102, 7791, 2494, 6968, 7958, 7783, 7207, 3387, 6499, 4113, 80, 3085, 144]",0
"[768, 7047, 1382, 2466, 7772, 7076, 6161, 7076, 2466, 957, 5608, 3395, 144, 5608, 5726, 117, 3696, 1428, 1621, 4982, 7075, 1381, 831, 7047, 2858, 1229, 4930, 144, 4113, 80, 552, 4332, 7736, 7207, 3507, 7207, 6265, 7787, 3696, 7689, 7207, 4350, 3814, 986, 552, 3617, 3677, 117, 552, 5699, 117, 5026, 7047, 684, 1062, 7047, 4360, 6197, 117, 831, 7037, 4113, 2494, 4723, 7867, 7847, 6267, 7047, 6054, 7492, 7343, 144, 7977, 7413, 117, 4459, 1381, 2466, 4844, 2466, 7772, 7076, 6161, 117, 5026, 5760, 7047, 904, 7207, 552, 2159, 5098, 144, 3549, 957, 7047, 3273, 7791, 2466, 4844, 7867, 527, 267, 1074, 7207, 2231, 5682, 2785, 1748, 4438, 7958, 7619, 5682, 2785, 1748, 2342, 3897, 144, 3934, 7047, 6135, 144, 345, 1074, 7207, 84, 8, 864, 80, 4844, 552, 5682, 2785, 1748, 7182, 552, 443, 144, 402, 986, 552, 5699, 117, 3696, 7317, 7207, 7451, 1748, 3900, 831, 4718, 1505, 7697, 5821, 144, 439, 7047, 4316, 552, 3617, 3193, 3495, 33, 1748, 8, 986, 4125, 6771, 1379, 7977, 7068, 957, 788, 4459, 7137, 3696, 2858, 7207, 1197, 561, 7207, 2466, 7037, 7068, 7765, 4844, 1381, 5026, 4312, 3179, 144]",1
"[7047, 7352, 4082, 2659, 1377, 4044, 144, 7047, 4312, 3507, 4371, 2301, 4743]",0
"[7947, 4113, 4082, 2273, 4982, 3552, 144]",0
"[7047, 4360, 215, 6419, 4678, 6253, 7207, 1197, 7740, 7002, 4938, 768, 7047, 5053, 4649, 831, 1951, 3814, 7047, 5484, 144, 1377, 7146, 4678, 3495, 552, 2540, 144, 4113, 2164, 7845, 7169, 6899, 117, 7047, 5711, 117, 7047, 3635, 831, 7047, 684, 144, 2568, 7207, 7146, 4198, 4938, 6260, 117, 7068, 4082, 552, 5887, 4938, 2143, 3696, 7047, 2144, 117, 3723, 859, 7492, 7896, 4285, 7207, 6419, 986, 1314, 144, 788, 117, 4113, 7896, 4435, 4113, 2394, 7207, 3471, 1782, 986, 7047, 904, 3442, 144, 599, 7207, 4494, 117, 4125, 1254, 7207, 1064, 1459, 7047, 6899, 4938, 5711, 831, 3617, 3683, 4034, 4989, 7047, 5053, 3273, 957, 4844, 7814, 3772, 117, 4997, 7047, 2103, 5013, 5829, 7207, 7159, 957, 3772, 117, 3547, 4844, 4702, 2017, 1197, 6034, 563, 7011, 144]",1
"[7047, 5497, 4786, 7561, 4982, 768, 3045, 104, 3696, 7697, 561, 7207, 2743, 5631, 7568, 3814, 2674, 665, 117, 4625, 4896, 3045, 105, 144, 6516, 4938, 7047, 659, 3273, 7765, 4611, 104, 3067, 3939, 117, 6242, 7810, 3495, 647, 4718, 3617, 7207, 7049, 3939, 4316, 2786, 105, 144, 7047, 5497, 4082, 7740, 1869, 831, 4767, 4082, 2609, 144, 5082, 4113, 4378, 7607, 1600, 831, 4044, 4, 7977]",1
"[3696, 2466, 4723, 7140, 7047, 6989, 3495, 1210, 3089, 144, 7047, 1944, 6989, 3050, 4082, 1192, 2687, 831, 7047, 6135, 2687, 3814, 7047, 4639, 6989, 3050, 144]",1
"[4821, 117, 4844, 5696, 144, 4821, 7492, 7343, 3495, 768, 7047, 3283, 3814, 7146, 6019, 80, 1534, 1324, 117, 4702, 4263, 768, 7047, 3283, 6569, 3814, 7047, 5497, 2296, 144, 4454, 3955, 4938, 7047, 6989, 3150, 6015, 7037, 768, 7047, 4639, 831, 1944, 7020, 957, 2687, 117, 986, 957, 7047, 3114, 144]",1
"[4821, 117, 7011, 4082, 4844, 2044, 7954, 144]",1
"[7947, 117, 7047, 6940, 6253, 7207, 3507, 7002, 7049, 7521, 1775, 7037, 3475, 4360, 117, 4369, 831, 5053, 7492, 6414, 7561]",0
"[684, 831, 5699, 80, 3273, 957, 5137, 7878, 144, 4459, 5053, 3020, 4781, 7207, 3764]",1
"[7047, 5497, 4997, 3495, 399, 1724, 117, 768, 5000, 552, 6452, 2150, 144, 6499, 7947, 117, 4113, 1409, 4723, 1197, 6134, 7037, 7047, 5497, 7697, 3772, 5026, 2356, 5078, 552, 5221, 4938, 7191]",1
"[7047, 1645, 7697, 5412, 7458, 3814, 7047, 2706, 104, 5571, 3245, 850, 5900, 105, 831, 3547, 3696, 2017, 4844, 6242, 859, 5815, 1724, 144]",0
"[3696, 1428, 4844, 6242, 7047, 1774, 2366, 5460, 117, 7047, 4997, 1717, 3814, 7047, 3368, 4082, 3480, 4982, 4682, 117, 7047, 7729, 4938, 514, 144]",1
"[4821, 144, 7076, 4997, 3507, 399, 1724, 831, 258, 1328, 6499, 7037, 4500, 7076, 7684, 7439, 7047, 4227, 4601, 7207, 2466, 7135]",1
"[3696, 1428, 4844, 915, 7146, 1205, 2466, 4844, 1238, 7076, 2378, 7049, 2360, 3814, 7047, 4310, 5900, 144, 7068, 4082, 4997, 4986, 1717, 117, 7783, 768, 7047, 3283, 7697, 647, 144, 3696, 807, 3826, 7207, 6161, 7047, 6940, 7697, 4844, 620, 2359, 5078, 7047, 5497, 5221, 144]",1
"[3814, 7236, 117, 7068, 957, 4997, 399, 1724, 2513, 4]",0
"[4821, 117, 599, 7207, 7047, 3366, 3587, 117, 7068, 3495, 4844, 1210, 4821, 1516, 5571, 726, 4932, 340]",1
"[3696, 2017, 6242, 4997, 4986, 5227, 80, 1724, 144, 2597, 6940, 4513, 7207, 1934, 7207, 3366, 144]",1
"[7047, 4649, 117, 7635, 831, 1951, 3507, 1210, 5518, 2315, 831, 3772, 144]",0
"[4689, 4938, 7047, 5375, 3507, 1210, 3157]",0
"[7047, 6112, 6543, 1645, 898, 7207, 3154, 6081, 1966, 117, 831, 7525, 552, 3038, 5622, 1050, 144, 7047, 2416, 4743, 831, 5497, 6706, 894, 7207, 3154, 3395, 6081, 4716, 1966, 144, 6543, 1645, 4082, 5040, 831, 7381, 7222, 144]",0
"[7047, 1645, 4082, 4774, 831, 5386, 7845, 5517, 6706, 831, 1713]",0
"[7607, 3395, 6706, 117, 5660, 831, 4743, 957, 7607, 5847, 7207, 7047, 3283]",0
"[7047, 1645, 4082, 7929, 7740, 144]",0
"[7047, 5082, 7352, 4082, 3395, 117, 1377, 7068, 1428, 1197, 6516, 3808, 4409, 4982, 7047, 684, 5134, 4938, 7047, 879, 144, 7711, 4781, 7207, 1505, 7047, 4303, 4456, 7207, 2706, 7446, 1062, 7047, 684, 2142, 144]",1
"[7047, 7352, 4082, 4690, 2609, 7207, 7473, 117, 1377, 7047, 5671, 4082, 4773, 7407, 144]",1
"[3395, 2306, 831, 2609, 7207, 7473, 144]",0
"[7047, 2273, 4303, 4082, 4844, 587, 144, 7047, 5671, 3050, 2293, 7047, 5466, 3179, 4175, 684, 4360, 1377, 4844, 3179, 7047, 1875, 6659]",1
"[7047, 7352, 4082, 6680, 3211, 831, 2609, 7207, 7473, 144, 7047, 3765, 4938, 7047, 4531, 1183, 4438, 4113, 4374, 1254, 144, 7161, 7068, 4082, 552, 6189, 3179, 3807, 144, 7047, 684, 4303, 3814, 7047, 5671, 3050, 4082, 4844, 7878, 144]",1
"[4811, 7492, 4014, 117, 3395, 7473, 4241, 144, 1377, 7372, 7207, 4350, 3814, 986, 684, 117]",1
"[7352, 4082, 4813, 2515, 7068, 957, 552, 3038, 7137, 7037, 1428, 1197, 3805, 527, 7977, 267, 1610, 768, 215, 4316, 768, 3642, 3043, 4985, 552, 6221, 5123, 3495, 1210, 3377, 345, 2466, 4844, 6382, 5734, 4903, 3702, 3814, 3930, 144, 4492, 6520, 4683, 7490, 144]",1
"[1944, 3495, 1210, 7002, 7977]",0
"[7076, 7002, 1062, 4247, 4986, 1944, 117, 1377, 4836, 4938, 7047, 4649, 144]",1
"[7047, 6940, 3495, 647, 3283, 3179, 4360, 7173, 3403, 6405, 117, 1377, 3696, 2017, 4723, 7600, 4113, 80, 7882]",1
"[7047, 5699, 831, 3617, 3677, 1951, 7867, 986, 2329, 3814, 4689, 1465, 7161, 7068, 957, 6516, 1465, 7791, 4781, 7207, 1197, 666, 144, 7068, 4082, 552, 4781, 7207, 7552, 7047, 5682, 2785, 2079, 3193, 144]",1
"[2946, 7011, 7697, 2513]",0
"[7947, 144]",0
"[6940, 7697, 619, 7162, 7047, 5466]",0
"[4821, 117, 7047, 4433, 4938, 7047, 7867, 7697, 5571, 4982, 257, 144, 4113, 4082, 822, 3800, 5474, 3723, 7076, 3404, 768, 4938, 7146, 2513, 3814, 7047, 5168, 7729, 144]",0
"[7068, 957, 4459, 1724, 7791, 957, 2460, 778, 2762, 1259, 768, 6948]",0
"[7947, 563, 494, 1724, 7765, 2513]",0
"[1645, 1717, 3235, 4082, 3395, 144]",0
"[7047, 1645, 4082, 7607, 7740, 7922, 831, 976, 7207, 1197, 2606, 7392, 144, 4821, 2959, 1645, 5026, 7442, 1645, 7648, 144, 2561, 5430, 3507, 1210, 3772, 7607, 7740, 144]",0
"[7607, 1616, 1645]",0
"[3696, 7140, 4113, 2494, 5414, 7740, 7207, 3154, 7081, 9, 3395, 6112, 831, 5622, 1666, 5375, 9, 144, 4113, 4082, 2657, 831, 3164, 7047, 2561, 1645, 923, 144]",1
"[7146, 6940, 3495, 3157, 7047, 1192, 6706, 3157, 3814, 2798, 6112, 4982, 5622, 904, 7791, 4409, 4718, 6929, 2604, 7207, 585, 3055, 831, 7387, 7049, 4357, 144, 5518, 2292, 5671, 3050, 831, 788, 4986, 659, 5190, 3377, 7845, 904, 7697, 2729, 7207, 3376, 4494, 5517, 7395, 4938, 7047, 4679, 144]",0
"[5671, 3050, 1911, 2729, 3900, 7207, 7387, 7047, 5497, 3765, 1194, 144]",0
"[5304, 2414, 6924, 7511, 7783, 7207, 6404, 7446, 144]",0
"[7047, 7492, 4014, 4082, 7607, 4044, 831, 2609, 7207, 7473, 144, 4113, 4082, 7607, 7740, 2893, 3814, 7047, 5671, 3050, 144, 7047, 6658, 7207, 6118, 7047, 1645, 957, 2292, 986, 7740, 144]",0
"[7947, 117, 7047, 7492, 4014, 4082, 4044, 831, 2609, 7207, 7473, 144, 788, 117, 7047, 5671, 3050, 3495, 1210, 5211, 2292, 7207, 3376, 7047, 5517, 3707, 4938, 7047, 3127, 831, 4360, 2083, 4938, 822, 684, 144]",0
"[1192, 6165, 3333, 7020, 1120, 144]",0
"[7947, 117, 3245, 7772, 3696, 2017, 6242, 117, 7076, 3507, 2513, 7740, 3814, 7011, 1062, 4247, 4986, 4639, 831, 4986, 1944, 144]",0
"[6940, 3495, 5211, 3772, 4432, 4679, 831, 788, 7076, 3507, 3772, 7047, 2955, 2088, 5337, 144, 3696, 7317, 7207, 4360, 7845, 4047, 2083, 5026, 6516, 4047, 5166, 4261, 527, 1377, 7068, 7765, 7561, 144, 3547, 117, 7076, 3507, 5211, 3145, 4982, 7146, 5153, 7222, 831, 7002, 4113, 144, 7977, 3696, 1238, 7146, 3495, 3772, 552, 7173, 6989, 4938, 1062, 4247, 4986, 4678, 831, 1944, 144]",0
"[6347, 4299, 1724, 7845, 3395, 2911, 1120, 144]",0
"[6971, 3495, 5518, 7483, 3366, 831, 4997, 5571, 7047, 1516, 7780, 4778, 831, 788, 117, 1888, 7177, 7047, 5497, 5221, 144]",0
"[7740, 7922, 1645, 144]",0
"[4844, 552, 4389, 4938, 1645, 7207, 1224, 7845, 1377, 7773, 4082, 7068, 6253, 1400, 1666, 5374, 4843, 144, 4689, 4938, 7047, 1645, 6253, 7207, 1197, 1709]",0
