Suggest_Solutions,Comments
0,"Readme file is not updated and there are no instructions on how an admin or a house hunter can log in. The UI, though it didn't have any styling, is intuitive and self explanatory. �"
0,"No, not really. The website just has one role to operate, and the readme file is an auto-generated file, which doesn't include any useful information."
0,"Nearly all of the links seem to go to the wrong pages. For example, ""Back"" in Viewing Houses took me to a list of Users that had signed up, while logged in as a Realtor."
0,Interface is very basic It lacks in many major functionalities that made the navigation through the site difficult. README was not well described to understand the team's work and their functionalities.
0,the README file is not maintained by the developer. The design is not complete. Whatever is done is intuitive but incomplete.
0,Some indentation issues in the project.For example in index.html.erb indentation is not proper. Splelling mistakes.For example in hunters view in index .html.erb� prefered spelling is wrong.
0,The ruby coding convention has been followed�through out the project.
1,"The team followed good practices. No repetition of the code. DRY principles uses. How, there is an empty controller though, which is, the commons_controller.rb. What is its purpose?"
1,"The MVC structure is good, but some details should� be improved."
0,�Yeah in a way. The scaffolding generated code follows convention.
1,"The code follows the common ""Ruby on rails"" application structure:  Hence, it was easy for me to navigate through other files to see portion of the code. It follows the common MVC structure. However, In some parts of the code, comments were missing which was confusing as I didn't understand the logic for that code. README file was not properly described for other users navigating through app."
0,"The application is modled according to the ruby practices but lacks the use of ruby features such as validations , associations and active record.�"
1,"The code is very well written, properly organised and good architecture. No repetition. Cons Application logic written in controllers, for example, house_controller, which can be ported to the respective models."
0,The controllers are well-written.
0,"The code follows ""good Ruby and Rails coding practice"" from my point of view."
0,Requesting to GIT Link to verify the same
0,Have used DRY principles. The code has good readability and good naming conventions are followed. Have grouped similar functionalities into classes so that it is modularized. Have used iterators such as each instead of for and while.
0,UI/UX is awesome and intuitive. Read me file is also well described.
0,The README is empty and does not contain the admin account information. It's hard to navigate around the interface and determine where all the functionality is.
1,"UI looks nice but I found the it to be a bit confusing. The relation between User, House Hunter and Realtor is not apparent. It would helpful if it could be explained in detail in the README file."
0,The interface was simple. Some of the fields input were not mentioned like for creating house
0,Requesting to GIT Link to verify the same. But i downloaded the Zipped file to see if there is admin credentials in README file and it was not there.
0,The user interface is easy to use and the README file is explicit.
0,Great UI. Admin dashboard looks very professional.
0,"Controller test cases have been covered, but no model test cases can be seen."
0,Tests exist for the controller but not models.
0,Spec folder is not there. There are some tests in the test folder.
0,I was able to check for the realtor and house hunter. Some of the functionality of a realtor and househunter weren't working.
0,Yes you have the tests written.
1,The basics test are written. Some application specific tests can be written.
0,There are only four commits visible and no proper commit messages. Initial commit has 228 file changes.
0,All commits were made on one day
0,It seems that there is only one team member pushing changes.
0,Looks like the team has committed the project as a whole. Bug fixes are done incrementally.
0,"The project has successfully named it's varables and function names according to the principle. They are understandable form what the mean. But the project lacks any documentation internally, as well as a proper external readme file. Lack of code documentation makes it tough for the reviewer to make sense of the code. Apart from that, the design of the database schema isn't normalized to much extent, which makes data entries redundant."
0,The MVC structure is completed. and basic functions have been finished.
0,The model and controller are well designed. Each method covers a single functionality! Good job
0,"From what I see it looks like code we have seen in class. Although in the model classes, they don't have any associations between models."
1,"The code itself appears to be very clean.�The lack of scaffolding (or the stripped down scaffolding that it presents) means there's a lot less dead code in the files. All the indentation and variable names appear to follow convention as well. This cleanliness, on further inspection, appear to stem from the fact that the application frequently does not�support needed functionality. The code that's there is clean though."
1,"Overall, the code looks fine. Good code is self-documenting - So, your code could be improved by�adding comments in all required places. Make use of�different logging�options provided by ROR and avoid using ""puts"" in code."
1,The Code is structured as per basic rails norms. The CRUD operations operations actions could have followed the usual norms than custom actions defined. The routes config could have been more efficiently defined using match than defining each routes separately.
1,"All users have their own model controllers. The code is following Ruby on Rails standards but there are some debug ""puts"" that should�be removed."
1,"The user interface is very simple, clear and straightforward. But it lacks depth where it should have been extensive. For example, after signing up for the first time, the user is directed by to the login page to login again. This is not very user friendly, and is rather redundant. One must automatically sign in after creating an account. Also, the application should deduce whether I'm a realtor or a househunter or an admin from the email ID i entered. I should atleast now have to specify for househunter or realtor about my role."
1,The UI is basic as of now. The 'show profile' link is broken.
0,"the interface is good, clean and very easy to use."
0,They are simple links to pages which does tell you where to go so it's fine.
1,"All the buttons�which do what they say they do are quite good. Quite reasonably, I can click on these buttons and the expected behavior occurs. It's a little weird to have to select whether I want to log in as a house hunter, a realtor, or the admin at the login screen, and that it doesn't work without selecting the right user type. � Unfortunately, many buttons do not do what they say, or redirect the application to a dead page. Here are the functionalities which do not work: 1. Attempting to delete Real Estate Company makes you view Real Estate Company detailed info. Inquiries�do the same. 2. Attempting to 'show' anything�that's not a real estate company throws a 406. 3. As a realtor, I tried to Update/add company information and my change was rejected. 4. The List a House form has 'create company' as its submit button.� � There are also many things I expected to be able to do that there were not buttons or links for."
0,The UI is elementary but intuitive. The links have long descriptive names
0,Yes it is deployed on Heroku.
1,"The login / signup module seems to be well tested of all the other models and controllers in the program. But this module has a drawback. It deals with three tables, the realtors, the househunters and the admin. Due to this kind of segmentation, there is a repetition of data i the database, if any user would like to signup as both. Also, it would make it difficult to handle complexity as the application grows. According to me, its better to atleast cascade the tables of realtors and house hunters into one.� The other functionalities are not wholly implemented, only the CRUD operations related to those are implemented, hence not much could be reviewed about testing."
0,"The project needs validations on all fields (I was able to enter random values in email address, mobile number fields). Some of the additional functionalities were missing (filter inquiry, see who has added my house to their inquiry list etc). The project is well connected and navigation is easy. Overall it looks very clean and intuitive!�"
1,I don't think the test has been finished. the controller test file is basic empty and the same empty in the model test file.
0,"No, not really. No user type has all the functionality in this review's check boxes, much less all the functionality specified in the project description. Manual inspection of the test folder reveals that all the model and controller tests are empty, as are the fixtures."
0,"No, testing is not covered yet."
0,"Yes, the team seems to have tested their UsersController completely that handles login, logout and other user signin validations"
0,Admin and Realtor's functionalities are partially working. Many other features need to implement.�
0,"The project only has 3 commits, all on� a single day. So yes, it can't be said that the project was implemented or developed over a period of time.�"
0,The code was presumable uploaded in the end (pushed from another repo) and hence I could not see any regular commits.
0,"I can not see the completed devolepment procedure, the only commit in the github is happend on Monday, the week of 9/30."
0,No. They only have 3 commits and 1 branch so that means they waited until the last minute to do thi
1,"I cannot appraise this because�I do not believe they did their development in the linked repo. There is only one commit, where all the functionality was added. I am inclined to say the team was not actively developing over the project period."
0,"In total, there are only 3 commits done!"
0,"No, according to the Git history, there has not been no changes pushed after Oct 1st"
1,I could see only one person's commits. Each team member�needs to contribute to Git.
0,"The models, views and controllers have been properly designed and implemented."
0,Most of the practices have been followed
0,"The ruby source code appears to follow RoR conventions, and uses a few Rails associations. The directory names and project structure appear to follow good RoR MVC conventions. Source code is organized and uncluttered too."
0,The code is written�really well.
0,"Very good structure, readable and names are very relevant to the functionality"
0,The code is neat and precise with proper structure and comments
0,"The overall UI is good, but there can be some improvements made on the admin part of the app. We need to change the link manually to end up at the admin dashboard."
0,"The UI is mostly easy to use, but the README is nearly undocumented."
0,Good design and easy to use.
0,The deployed link is not accessible. The readme file describes the process for just admin login but not for the consequent steps.�
0,The UI is straight forward and easy to use. The implementation of the menu bar makes it look better. Though there is a scope for improvement. The admin link in the Readme file is not working.
0,"nice user interface, good use layouts. but unable to log in as admin,"
1,UI is nicely done.� There are a few things that can be improved:� 1. Clear all / list all houses field once a search parameter has been given 2. Do not show receiver object id in inquiries. Maybe something more useful.
0,Controller has been tested �
0,"They tested at least one controller, but none of the models."
0,"The team has added functionality for login through google sign-in, but I couldn't verify it's working.��"
1,the realtor and house hunter controllers work as desired in most cases though there are some cases which need to be addressed. There is a need to validate the real estate creation form.
0,extensive testing was done
0,Yes.
0,Team was active thoughout the process
0,"No, the majority of the work was pushed on 09/29. It is an impressive product if they got all of this done in the past week."
0,There are many commits which are divided almost equally between all teammmates
0,yes about 75� commits were done
0,Code commit frequency is good.
0,The code is very well written and arranged to be easily understandable. No extraneous code or unused code visible. DRY principles have been implemented very well.
0,Very clearly code
0,"I think it does pretty well to follow the�""good Ruby and Rails coding practices"". It is elegant and follows the DRY code approach."
0,This team has followed the basic structure followed in every ruby on rails application which made my task easier to access files and understand their logic. Properly described README file and also one additional pdf given with application was enough to give me proper understanding of the modules.
0,ReadMe file contains enough information to understand the project implementation basics.
1,Please directly tall users where to sign up.
0,The user interface is very intuitive and easy to use. It is very well explained in the README file. The steps to run the code are described as well.
0,"Yes, the user interface is intuitive and easy to use. also, the README file has been perfectly described to give the proper idea of the flow and login credentials of an admin."
0,Basic scaffold generated tests available.
0,"Yes, from what I could see, they have done well in testing at least one model and one controller."
0,"Team has perfectly implemented major modules and also they have implemented the extra credit portion. I tried to login with invalid credentials or some invalid password-email-phone lengths: but there were validations. Hence, they have perfectly focused on this parts too and tested it. � I believe this has implemented a through test of at least one module and controller."
0,Several linear commits with good explanations available.
0,"Tem has properly used Git and only pushed the changes when necessary and also, consistently throughout the project period."
0,Well written code.
0,Not a lot of code to begin with but whatever is there seems by coding practice norms. Most of the code seems to be commented
0,The code base is very minimum. Many functionalities are not implemented.
0,"Yes partially, the code has the parameters not well defined for all only one�conceivable�user seemingly admin and that too is doubtful to have the correct MVC Layout.� For instance, they seem to have created separate MVC architectures for Admins, Companies and Users only. This goes to show that they are lacking in a layered approach on access and privileges.� Also, the code is written in a reasonably clean and formatted style with the variable definitions to be self-explanatory of the functionalities they perform in most cases for whichever few roles defined.�"
0,"The code is properly written with good Ruby practices, however, no comments are mentioned."
0,"It seems as though you have an awful lot of controllers that are supposed to have something to do with authentication that either don't get used or don't have any code in them. Other than that, the project looks organized like a Ruby on Rails project should be. There is a lot of code that is hard to follow, and I can't discern its purpose in several controllers."
0,"Yes, the code follows good Ruby and Rails coding practices as the models, views and controllers are well defined"
0,Readme not well defined
0,"The login opens the user page which has which has 5 ""back"" links for some reason and they do not do anything. No common home page for all the list views. Have to all the list views go from user pages. List of companies is not in tabulated form, thus very difficult to read"
0,I cannot create any hunter or realtor accounts.
1,This UI is pretty good. It's fairly intuitive to follow. The only thing I'd recommend is to have a link to the signup page on your welcome screen.
1,There is a scope of improvement by eliminating multiple 'back' links on each page.
0,Readme file is absent.
0,"Admin -� Not able to create a Real estate company - loads error page After creating a new user, not able to see the user in the list Couldn't find sign�up for a realtor/House hunter - throwing an error -�  Company must exist  This is because�of the foreign key reference and while creating the user there is no field to select one so it gets an empty or nil value. No houses and inquiries functionality created yet. Not able to check the functionalities of�house hunter and realtor as was not able to sign up for that user because�of the above error"
1,"It is not a very intuitive user interface because the ease of navigation not achieved in it due to the ill defined 'db' folders and the routes.rb file in git hub makes the session linkage a bit hard to follow.� Also, I fail to understand the structural flow of the program even after logging in after signing up. So, I get easily confused on what to do. Sign up is not validated for any functionality be it user or admin or realtor and we don't know what to do and that are we admins or any other user. Privilege separation has not been done. Also, the README barely resolve the dilemma and is of minimal help to us to follow the steps.�"
0,"The interface is preliminary, but is easy to understand."
0,"Doesn't seem like it. only user and company part have been implemented and I was able to delete the admin user easily,and in the company edit view for e.g year input doesn't check for a valid year(398343 is a valid year). Therefore it has not been thoroughly tested"
0,"There seems to be many functionalities missing. I cannot register as hunter or realtor. Hunter, Realtor, Interest of Buying, Inquiries ...These model do not appear to be in the folder app/models/... Seems to be an incomplete project, unless the previous reviewer cracked the system."
0,"Functionalities are incomplete,�while able to log in through admin, cannot�edit or create any other user because of the error."
0,"No, that doesn't seem to be the case since, it has been a very jumpy approach and also the functionality of only a basic login has been added. So, if adding the bare login and sign up is considered as an MVC architecture then they have surely built a bare backbone of it.�"
0,The team hasn't yet implemented any proper testing
0,"the User model has been tested, although I can't say it is thorough at this point, as it only tests the validity that is already required by the model."
0,"The admin functionality is tested well, however there are some fields like validations of phone number which are yet to be tested or improved upon"
0,Functionalities of admins are working.Though many other functionalities�are yet to be implemented.
0,"There are only ten commits and that too only from one account, which means it has only been done by one individual and not a team."
0,I did see updates and commits 15 hours ago.
0,"Yes, added the working functionalities timely."
0,"Yes, seems to be so the case in effect the last commit being just 5 hrs ago. But what changes against each file have been made is not clear hence its a bit unclear as to the extent and the number of changes made. Moreover, the amount of subject matter and the number of sessions or models are far too less to be implementing any changes as such.�"
0,The team has been pushing commits in a way that shows they have been making consistent progress on the project.
0,"Yes, they have around 21 commits."
0,I could see commits by only one person. Need team contribution.
0,Most files seem to be following good coding practices.
0,The readme file is well constructed. MVC files are properly made and easy to navigate. DB migrations can be seen easily as well. Overall good job done on this part.
0,The app was designed according to the ruby conventions and coding practices. The necessary authorizations are used along with gems to handle user session. Some models do not have the complete validations but the validations in place are using the ruby practices. The active record and association between models is also used in the project.�
0,Fairly good coding practices followed.
1,"UI is easy to use, a suggestion would be to display tables of data better, with better�spacing (the list houses page for example has the columns cramped up together)"
1,"The User Interface is very intuitive. The idea to add a field for preferred contact is very smart and relevant. Displaying the number of registered users, however, seems irrelevant to the house hunter and realtor. Perhaps this can be a function of the admin account where it would be more relevant."
0,The UI is well built as well. Specially the navigation bar at the top is a delight in terms of User experience.
0,"No, the README file tells me what I should do to test in local computer, and does not offer admin's information or any instruction of how to operate when login to the website."
0,"Yes the UI is pretty smooth and a person can navigate freely. However, in some cases there is no ""back"" link in the web-page, so the user has to use browser navigation to go to the previous page."
0,The design lacks dynamic paging for different users. all the links are visible to all the users and upon clicking the links an error comes that you are not authorized to perform the action. Ideally only relevant links should be visible to the user. It confuses the user regaring the actions he/she can perform. The user needs to perform all the actions visible in the UI to know what are the actions relevant for him/her. The readme file also is not well described about the actions that can be performed by the user. The readme file currently lacks any relevant information.
0,"I could only check househunter�UI. Since I could not find admin and realtor code on github�either, I believe you are yet to implement the functionality.� The UI I viewed was easy to use. Further site is responsive and incorporates several new features like requiring password for editing the profile. I guess that was work of a gem, but either way, good work!"
0,Yes. The controller and model for handling inquiries have been thoroughly tested.
0,Extra credit features have not been implemented. No google sign-in and no email replies�
0,The default testcases are present for some controllers. All the functionalities test are not present for the controllers. The models are not testes.
0,Could not find custom tests.
0,"With a total of 77 commits, the team has actively pushed changes to the project. Although not all commits are labeled very accurately, it is still easy to comprehend the pushed changes."
0,"The team kept on pushing changes throughout the project period, showing timely contributions from each team member. In fact, by looking at the commits, each team member was probably assigned a dedicated module to work on, which always works well to create such a big application."
0,"Yes, through the commit record, I can see that this team has been keeping pushing their changes."
0,"There are more than 70 commits , and they have been working continously"
0,There were regular commits during the course of the project.
0,Fairly frequent commits to GIT.
0,"Just one table is used for all users. Therefore there is no distinction among the admin, realtor and the house_hunter"
0,"Not much functionality is available. Of what is available, however, the code does follow�""good Ruby and Rails coding practices"""
0,The code there seems to be well organized. But the problem is that many functionalities are missing and there aren't too much code in models and controllers.
0,Code is using Basic Ruby on Rails Structure which by default provides the CRUD Functionalty. But no details of Admin login provided. Also some of the models seem to be missing.
0,The code is well written. I noticed the controller for inquiries is well written but it is unclear how to access all those functionalities from the front-end.
0,"The code is very neat and easy to read, but i can tell it is the auto generated code from scaffold.�"
0,User interface should not show the location Users#dashboard � Find me in app/views/users/dashboard.html.erb
0,"The application has bare minimum functionalities of what was required. A user signup and login has been implemented, but no information about what type of user has signed up/ logged in is available. ReadMe file is the default and no changes have been made to it."
0,"The application portal is same for all the 3 users. Therefore all users have been given same permissions. � ReadMe does not contain admin credentials . Hence, can't test admin functionalities"
0,No admin account provided. No user role selections. Seems to be an incomplete project. Looks like they use scaffolding to generate the templates but didn't fill in the necessary code.
0,"UI displays session info, file paths and # tags. Could be improved with little efforts"
0,"No information for admin login credentials provided anywhere. Under signing-up, no option to sign up as a realtor or a hunter is given. They should be able to do that because otherwise the functionalities aren't being differentiated for a hunter and a realtor.�"
0,"The application is deployed on Heroku, and the user interface is easy to use."
0,"The implementation can only log one type of user on and even though not specified, the user has all controls so it can be assumed its an admin. Admins can signup as well."
0,There is just one user role in the current submission. Unable to test the admin functionality
0,No roles implemented.�
0,Basic Tests are present. Not custom tests though
0,"No, none of the controllers or models have been tested."
0,"Actually i did find some auto generated test code for the controllers, but i don't think it is a thoroughly test. And there is no test code for the model."
0,total of 10 commits are visible on got but do not show a linear increment in the work done.
0,Yes. Good effort in case of pushing changes
0,No updates since 6 days ago
0,Only on 2 days all together
0,"I looked through their github commits log, and found that their first commit is on�Sep 28,2018. Maybe their just began to do the project on�Sep 28?"
0,Total of only 10 commits has been made on 3 days.
0,Most code seems to be written with good coding practices in mind.
0,The repository looks to be set up well and the app is laid out like a typical Ruby on Rails application. Good README file was present as well.
1,The code looks great. It's all scaffolding and really lean view modifications.
0,"good coding style, names are well selected and good readability."
0,"They use correct files to do specific behaviors and make advantage of the features ruby and rails provides. However, I think the structure of the files is not clear enough."
0,Have used DRY principles. Followed good coding practices.
0,The code follows the right style and in a good format.
1,"UI doesn't have proper navigation in many pages. A suggestion would be to display the data in a more spaced out way, using html tables or such methods, as it looks very cramped and confusing."
0,"While some links were easy to find and navigate, after editing houses and companies, I could not return back to a good home screen. I also was unable to log out.�"
1,"I'm docking some points here because Heroku doesn't appear to work. I think some malicious reviewer deleted the admin and the real estate company, and surprise! If a company doesn't exist, it doesn't let any user sign up.� � Please re-seed your database so I can test your app. �"
1,I cannot get access to the interface and the readme is not provided. They should provide a readme file later to state how can I test the project.
0,"Have listed out the functionality which is very intuitive. But some links like 'As realtor' and 'As house hunter' are broken, making a bit of a confusion."
1,"deployed on Heroku. Friendly interface, good README file."
0,"Navigation is hard, while some models seem to work for most cases, inquiries for example is not tested, as im unable to create an inquiry"
0,They had a good amount of tests the UserModel.
0,The code in controller.rb files are still incomplete for CRUD operations so I am not aware if this was tested properly.
0,comprehensively tested for users
0,"In the files they provided, I found they provided test for most of controllers and models."
1,Have implemented basic testing. Could add more application specific test cases.
0,"Last commit was 3 days ago, so they are not continuous throughout the period."
0,"Yes, it looks like all team members contributed and they have 80 commits over the course of several weeks."
0,"So many commits! It makes me proud. Starting as early as September 22nd, they make progress up until... today?! Either way, they passed this with flying colors."
0,about 80 commits were done along the timspan
0,"According to the record on github, they committed for many times, so they may keep pushing changes."
0,Evenly committed code during the project duration.
0,The team pushed changes frequently.
0,The code is very well written and organised. All the framework conventions have been followed such as the naming conventions. Comments have been added at appropriate places which improved the readability.
1,yes. code is written properly. followed dry principle. added comments where possible. followed mvc with rails framework.
0,"First of all, this website doesn't work at all. I can't sign up as any role. And I also can't get admin's info from README file, which is an auto-generated file."
0,"It does well to follow the ""good Ruby and Rails coding practices"". It follows the DRY code approach."
1,"Looking at your code on github , you guys are following good coding practices. Just at some places you have repeated you code, for example in /myaccounts/show.html.erb you are repeating alot of code. You can create one html file for the repeated code and call it based on the object or move the repeated code to a�section and use it."
0,The Git code included almost everything that follows good coding practices using Ruby and Rails.�
0,"Readme file is not updated. Couldn't find admin credentials. The UI looked promising on the login page but the signup fails, i am not able to sign up either as a house hunter or as a realtor. Tried so many times in all possible ways. Without these I couldn't test any of the functionalities. The error message was ""Sign Up failed, Please retry"""
0,yes. User Interface is good and easy to access.
0,"No, the README file is an auto-generated file, and there is no details in it."
0,A little confusing as there are two sign up forms one under the other and it is not clear what they are for.
0,Only the registration page is working and the interface is quite confusing as it has sign-up for both realtor and hunter on the same page which is bit confusing.
0,"Admin credentials not provided, realtor and house hunter signup throws error so unable to use app."
0,"You�haven't specified anything in�your Readme file. Plus�you have given a link to heroku app but its not working. Please make sure its working. I saw you guys had been committing code to your master branch, have you guys pushed it to heroku. That might be the reason it got broken.�"
0,The UI seems to be flexible. It could include trace back to the home page. The README file could include the details to login as email. This would be helpful to use the site to it's full potential.
0,No model test cases. Controllers not tested exhaustively.
0,"Team has tested hounse hunter functionalities but not admin and realtor functionalities. Register page asks us to put credentials twice. We are able to register for house hunter only irrespective of choosing any field (house hunter or realtor). Hence I am not able to login into realtor account. Also�could not find any credentials for admin, realtor or house hunter in readme file.� Hence not able to login into admin account also. � New link provided in document is not working. If would be great it team could check the link and come back."
0,I don't think the test part of this website is working.
0,You guys haven't implemented unit test for your project yet.�
0,The house hunter model seemed to work according to most of the tasks mentioned. Not for the admin and realtor ones. Was unable to login as admin. Was unable t signup as realtor.�
0,Excellent commit history. Contributions from all team members could be seen.
0,Yes I could see many push requests on the github. Hence concluding team is pushing their changes periodically.
0,"I find few changing records from github, but I can't show the process of development."
0,"Yes, the team kept pushing changes throughout the project period"
0,There was consistent commits with a spike in between when probably most development happened
0,"looking at�your commit history,�you guys started it on Saturday when the submission was Monday."
0,"The website did not seem to work at first. Now I was able to access it. I also noticed some features that were included in the meantime like testing by adding house hunters. Overall, the team did work on updating the site functionalities.�"
0,Only basic operation�is available. Need to add lots of functionality.�
0,"The Git repo shows total of 15 commits. Although majority of the places Ruby Standards have been followed but at some places variables names such as (househunter_url) does not show any relavancy�or understandidng�to the reader. If the variable is pointing to a function or belongs to, for example it can be house_hunt_xyz. Overall I think good standards are being followed.�"
0,The code has good style and recognizable convention over configuration. There are some line spacing issues however.
0,"Yes we can see many pushes on git. Hence , they have updated code."
0,Timely commits and elaborated readme file.
1,"The models , views and controllers are well created.   1)����� You can seed data for the admin into your production environment. The command to do this on heroku is heroku run rails db:seed. You need to make changes in the db/seeds.rb file and add your admin credentials in the proper format in this file."
1,"Everything seems good. You can move constants to a separate file and use them . For example where you are comparing ==""admin"" or ==""realtor"". You can either move them to a separate file or in database and use it."
0,"The code is clear and concise, it does follow good Ruby and Rails coding practices."
0,"Yes, the code does follow Ruby and Rails practices to an extent, as I can see the use of many helper methods in the code."
1,Stress is given to MVC architecture. But proper comments in the code section can simplify the code understanding for other users.
0,The bulk of the code I deciphered was auto-generated�via scaffold but the code that is changed follows good practices.
0,Most files seem to be following good Ruby and Rails practices.
0,Did a good job using forms to stay dry with the edit and new pages. Some more comments especially in the models would have been helpful to understand why certain validations were chosen. The use of JSON to store and recall in views was clever.
0,"This application has the layout expected of a Rails application. However, not enough information was included in the README file about installation."
0,yes. It is well written and they managed to follow DRY principle.
0,Code follows the basic CRUD structure given by Rails and neatly explains what is being performed. The notices nicely explains the user what is happening. The db schema is designed to incorporate most of the requirements.
0,"Reviewed the Git code for all controller , models and views .�standard ruby coding practices have been followed and code is easily readable�"
0,Not much of coding is done. Only the files automatically created by rails are present.
0,"Code follows 'good Ruby and Rails coding practices'. Naming�conventions are correct, methods in controllers are short and concise and there are no instances of 'spaghetti code'."
0,"Most of the code is well organized and follows�""good Ruby and Rails coding practices"". But I found some code has indentation problems. For example, in session_controller.rb, line 12-29 have obvious indentation problem."
1,"The UI for the login page is the only thing that loads, as I'm unable to sign up. A suggestion for the future would be to provide a username and password for an account that is already created to be provided somewhere to ensure a reviewer can log in even if signing up does not work."
0,The readme file is still the default provided by rails. I don't have access to an admin login and when I try to sign up for a new account(realtor or hunter) I get redirected to a webpage telling me that something went wrong. The small ammount of the UI that does exist(login and create account) seems easy enough to understand but it appears that without logging in I cannot see any other links.
0,Yes user interface is easy to use on the first page.
0,Readme.md file has no details on how to login and the signup pages for house hunter and realtors are not working. So no way of navigating the application fully.
0,"Readme file doesn't details on setting up account for admin.� I tried signing up new user for realtor and house hunter , whenever I try to sign up it is throwing error. it could be an issue with heroku�. � however login prompt is designed very well.�"
0,Readme file doesn't have any information. Not able to login with admin credentials.
0,Could not test UI because links for signing up are broken.
0,"Although the application is deployed on Heroku and the user interface is concise and easy to use, the README file provides no information about admin account(email and password) and application features.� �"
1,"Im unable to signup as a house hunter or a realtor, so the controllers for the same have not been tested. A suggestion would be to provide details of already created users so that reviewers can atleast log in and test other functionalities."
0,Due to the lack of provided admin login and the fact that I cannot sign up for a realtor or hunter account it is impossible to evaluate the functionalities
0,"While the typical Rails files for testing were included, I did not see a complete set of tests for model and controller."
0,I am not able to sign up into the system. Neither i could see any credentials in the readme file. Hence not able to proceed further to check the above mentioned functionalities.
0,Default tests are present. Not the actual tests.�
0,no work has been done. Application throws error as soon i click on sign up button and choose any type of account.
0,Tests are added for most controllers.
0,Multiple commits are present in the repo.
0,All of the commits for this application were made on the same day.
0,"There were 4 commits on the day it was due, presumably to get the project up and running for submission and 1 today to upload the development database."
0,I see commits only on a single day .
0,All the changes are pushed at once.
0,Git�was not utilized fully. There are only a handful of commits that do not capture the development process of�project.�
0,"I looked through their github commits log, and found that their first commit is on Oct 1,2018. Maybe their just began to do the project on Oct 1?"
1,Yes. I am able to login into the system via the link provided.
1,"The user interface has a bare bones look and feel but is intuitive overall. The inquiries list is hard to find for the admin, and the links below the tables could be placed at the top of the screen to improve the UX. The inquiry component of the app had awkward navigation, particularly for the realtor. This is also awkward for the house hunter. Only one link is needed up top."
0,Sign-up for realtors and admin gives application error.�
0,The user interface is pretty intuitive. Few things like the create house functionality is breaking on heroku and giving an application error.
1,They have attached 2 other files saying what all they have implemented.
0,Everything was described properly in the README file.
1,"UI is simple to follow. Enhancements mentioned below can simplify various tasks 1. Preferred contact method can be drop down with ""text, mail, phone"" options. 2. User role can be drop down with ""buyer and realtor""."
