Mitigation,Comments
1,"Update: Initial feedback not considered, hence response is the same


There are a lot of commented blocks of code, which i feel if not required should be removed. Such redundant or commented code hampers readability and bloats the codebase"
0,"Update: Initial feedback not considered, hence response is the same


No Test Plan"
0,"Update: Initial feedback not considered, hence response is the same


The code is not merged with master. also the code did not pass the integration check and also reduced the test coverage. Assuming the video is a valid one I can ascertain that the code works locally."
0,The write up is well written but the nuances of the project are still missing. They haven't shown the actual implementation of the code. They also haven't shown how the existing email notification system works. But yet the write up is written well.
0,"Yes, they have mentioned the approaches that they have taken and also they have mentioned what exactly are the changes to be implemented to improve the notification system. Code snippets are perfectly handled and written well."
0,They haven't tampered with any of the variables or method names and hence they have followed the original convention.
0,"Yes, the functions are modularised and to the point. I just feel additional comments should be added to the code so that it is understandable to the novice user. The DRY design pattern has been implemented too."
0,The wiki page is well written and explains all the changes the team has made to overcome the problems.
0,The team has explained in the write-up the approach taken to solve each of the problem.
0,The team has not included a test plan section but they explain how to test each issue in the video.
0,The team has followed proper coding conventions.
0,The code is well written and made into reusable functions. DRY principle is followed by the team.
0,The team has tested the newly added code but have failed to include a test plan section.
0,I have tested the code as shown in the video and works as demonstrated. But could not think of new edge cases.
1,"The wiki was well written and the video clearly shows the implementation of the project done. The last 2 lines in the introduction section are not related to the current project and must be changed. The formatting in the wiki is also not perfect. Some statements of the code are not inside the formatted grey box. (Example in ""Approach Taken To Implement Changes"" section of the wiki, in 2) the end statement is out of place and in 3) def create is out of place )."
0,"No use of any design patterns or principles was explicitly stated in the wiki/video. The video was well made and easy to follow. However, if a voice over was added to the video it would have been easier to understand and follow the author's action."
0,"Names are intuitive like they used the variable inv for an invitation, etc."
1,The video explained clearly how the test were written and the wiki page introduced the project task by task. It introduced the idea of refactoring and Test First Development which is really good.
1,As it it a test first development project they have written all the tests first. But they have not mentioned any design patterns that they used. I suggest they could add little code per function instead of adding all the test cases.
1,"They put all the code of test in the wiki page, but I think it is better to have few comments for each test."
1,"Most of the code is good enough. I can see they improved the code of refactoring and simplified the code of test. But please checkout the code climate, you have a lot of issues to fix."
1,The code followed good coding practices but still can be improved. Please checkout the code climate.
1,I think the tests have been done perfectly. They have covered all the cases and all the tests passed.
1,"Yes, I ran the test manually on my computer and they all succeed so I think they have done a good job."
0,The write-up has been modified well to suit my previous review. The tasks have been properly mentioned and the modularity of the write-up is something that is commendable. Code snippets are too long in the write-up though.
1,"Yes, the write-up does mention how the authors performed the task. The plan of work explicitly states so. Also, the test patterns are mentioned which is another plus point. I just feel a lot of unnecessary code snippets are present."
0,The test plan does look complete enough. I would like to comment here that not only should they specify the test code snippets but preferably also specify what the code does and what all test cases are they performing. This would help a novice user to understand better.
1,The names are quite intuitive as I think they have followed good coding practices and design patterns while implementing their project. All functions are named explicitly and hence I don't think there is any issue regarding this section.
0,"I do feel some of the test cases are very long and it would be better if those test cases could be modularised into smaller test cases. However, this is just a personal opinion and the test cases have been written in a fluent manner. Comments could be added to make the code seem more intuitive. CodeClimate shows 443 issues to fix, with many duplicate code segments."
1,"Yes, all the tests have been covered and all of them have passed. Well done to the team."
1,"I tried testing the features and they did run perfectly. However, while running these features locally I failed to understand certain methods and certain bugs which occurred in their files. On further refactoring the code myself, the features worked."
0,"This tam did a very good wiki write up. It explains every task they did clearly. Because they are TFD design project, so they explain what is TDD. But if you can add some details about how to write your test code and how to implement your TFD design method, your wiki will be perfect."
0,"Yes, they did write how and why they did their work step by step. Good job! But In your wiki, you write wrong line numbers for your refactor method, which should be 568 and 571, not 561 and 567. What's more, I think the method is less readable after you refactor, because the output is not clear in self.export method. I suggest changing your line 568 code to ""csv = Assignment.export_not_nil(csv,@scores,parent_id,options)"", which is more clear to check what's is output."
0,"Yes, it has test part. Good job! But I think it is not enough. You should write some test for your refactored method and new method extracted from original method. For example, you'd better to test seft.export mehtod and self.export_not_nil method as well."
1,"Most of the code is good. But there are still some things I think you can modify. Firstly, the method score is still very long, more than 50 lines. I think less than 25 lines is good. Secondly, the name of new method extracted from score method is not appropriate. For example, in line 203, a verb name ""get_score_max"" is better than a nouns name ""score_max"". Then, you did lots of creation in your spec file. I think using double and build is better in order to improve your efficiency of your code."
1,"Generally, you finished your work on time and systematically. Good job! But some issues are needed to be modified.


1. ""socre""method is very long, which should be refactored.


2. I think some method can be extracted from scores. For, example, from line164 to line 177 can be extracted to a new method called ""get_rounds_scores"".


3.Some comments are needed before refactored method and newly added method, which make reviewers to easy to understand your code.


4. The code style is good."
0,"In the video, they pass their test and all the test cases pass the automatic test tool in git. But some tests about your new method extracted from original method is wanted. What's more, a GUI test or an online test is wanted in your video or writeup."
1,the write up clearly defines the project
1,It does not clearly defines the patterns and design principles
0,could not find the link to pull request
0,The writeup clearly indicates which aspects of refactoring and testing have been covered in the project. Breakdown of all the tasks is proper with appropriate screenshots.
0,The writeup has been updated according to review comments with proper explanation for the design decisions.
1,"Pre-conditions, edge cases, invalid input values, and other possibilities have been included in the test plan."
1,Variable/Method names added during refactoring seem fine and follow the coding guidelines.
1,"The refactoring mentioned in the problem statement has been covered properly.


The test cases however have multiple occurrences of creating an object eg: ""@assignment=create(:assignment)"" it can be declared at the top of the rspec file and reused in the respective contexts. This was mentioned as an additional comment for round one of the review, however I could not find any changes in the code."
1,Could not figure out how to test the working of the code. It would be helpful if the steps to verify the functionality was mentioned in the writeup.
1,Same as before
1,climate issues still need to fix
1,Clear write-up
0,The authors did explain why and how they did it
0,Yes looks complete
1,Clear names and code follows DRY Rule
0,"code is awesome, nice and DRY."
0,seems all test cases are covered
0,"The writeup is very detailed, the background and Problem Statement section mention what the project does and why it do that."
1,"In the first peer review, I said they should add some explanation about their code, and at this time, they modify their writeup, and added a thorough section to explain why they did that. It is very useful to help me to understand their code."
1,"In the test plan section, they give a table to show what they will do in the test. It is very clearly and include the factor which is listed above."
1,"The variables and methods and class names is nice. Every names are reasonable and suggestive, no thing should be change. But I think they did not create a pull request, because I didn't find any information I need in https://github.com/expertiza/expertiza/compare/master...rikenshah:master."
0,"The scores method has been modified, but it still very long, it should be separated into several simpler method.Method response_map_to_metareview has same issue. In the assignment_spec.rb file, a lot of code is similar, it can be merged through before method for each test case."
0,"I don't think they converted all the cases listed in Test Plan. In the Test plan, they propose that they will refactor scores method, but it still to long. They should separate it into several simpler methods."
1,"As the result pasted on the writeup, every test case passed. All the features work as intended."
1,"Good explanation. Could have written pseudo code of the tests, written in assignment_specs.rb, instead of including the whole code."
1,"Yes, the section ""Plan of Work"", contains their work flow. They have also mentioned what refactoring is being and why it is being done."
1,Test plan is very well executed. All the test cases added in assignment_specs.rb pass.
0,Names are reasonable.
1,"Very clearly indicated in ""Plan of Word""."
1,"Yes. They explained clearly in ""About Refactoring and why are we using it"" and ""About Test Driven-Development and why we are using it""."
0,Yes. There are 4 tasks for test cases. Very comprehensive and clearly.
0,They refactored the long  methods before. No functions too long now.
1,The write up explains the functionality very well. The authors have even used code to explain what changes have been made.
1,"The write up has 2 sections ""About refactoring and why are we using it"" and ""About Test Driven-Development and why we are using it"" which explain why and how the authors did what they did."
0,The wiki consists of a section where all the tests are explained. These consist of several conditions and possibilities that have been considered while creating the tests.
0,The tests in the Test Plan action do pass. The test cases run without any failure as depicted in the screencast too.
1,I can not  find a way to manually test the work done in this project. But the execution of test cases in the screencast seems to work perfectly fine.
1,The code is written nicely and seems to be DRY.
1,"All the variable/new methods added are well structured and all of them are reasonable.


The ""Enhancements"" part of the wiki page writeup explained the code. It looks all perfect."
0,"All the issues are covered into automated test cases and the tests are written in Rspec.


In one of the test cases: 


+    it 'returns false if directory path already in use' do


 +      @assignment = create(:assignment)


 +      expect(@assignment.check_directory_path).to eql(false)





Here, input values are not provided to the new mock assignment created. So for all input values the test cannot be used to verify the feature."
0,Tests are added as per problem statement and test plan.
0,The team has updated the written tests as recommended in the previous review.
1,"it 'should contain course in path name' do


     @assignment = create(:assignment)


     @assignment.directory_path = Course.first.directory_path.to_s + ""/finaltest""


     expect(@assignment.directory_path).to include(Course.first.directory_path)


   end


this is a dummy and useless test. It is not testing anything in the model. I am not sure what has been tried to test.





No tests added for assignment controller changes."
0,They have considered my previous review comments and have added tests to their code.
0,3 tests were added and 1 test was commented out.
0,They have discussed their entire test plan properly in the wiki and looks complete in code. But codeclimate and travis build have failed in pull request so it seems some changes need to be made.
0,code is not commented.
0,All tests are automated.
0,"1. I could not find any test cases in the test plan which includes prerequisites, edge cases and many more.


2. The project basically includes solving the issues and writing the tests for the same. The automated tests might not be required here.


3. The problem statement clearly defines the scope of the project which shows that the automated test cases are not required.


4. The test case description is not included in the wiki page.


5. I could not see information about any test/spec file in the wiki page, where you have implemented the test cases."
0,"The authors converted all the cases discussed in Test Plan into automated tests.


But it doesn't consider the case when a TA create the assignment."
0,"Pull request link is not provided. Had to check main expertiza for the pull request.


Appropriate names are used and they go with the functionality"
0,"Code change works perfectly, although there are some hiccups as mentioned below. 





Committed code without checking. Added a 'ddd' in code by mistake. 


-> Generalddd 





^^ the above issue was mentioned in Round 1 as well. The team hasn't taken the review into consideration.





Public and Private keys changed in schema.rb without explaining why it has been done.





-    t.text    ""public_key"",                limit: 16777215


 -    t.boolean ""copy_of_emails"",                             default: false


 +    t.text    ""public_key"",                limit: 65535


 +    t.boolean ""copy_of_emails"",                          default: false





The team must acknowledge all the changes made in the code with proper comments either in wiki or on git.





Travis CI build fails because of some airbrake issue. Coverage is decreased by 22.7% ."
0,"I think the variables, methods, and class names are well defined. it's clear to understand."
0,"assignment_new_path, my_dir"
0,They have used very reasonable names for methods and variables as far as possible
0,"Names were intuitive but maximum of the variables were made instance variables even though their usage was only inside an if block, could have been local to the block."
0,"They've used proper variables, methods that make it better to understand the code they've written."
0,"1. The implementation is simple and understandable.


2. The variables, methods and class names have the reasonable names and there is no ambiguity."
0,"In app/controllers/assignments_controller.rb: 


Varible ""my_dir"" in update action is not suggestive, I can't tell its meaning from its name. 


I suggest that you come up with a better name, the name should tell us exactly whose directory it is. 





@assignment_new_path, @course and @destination_path are not suggestive, because they are not used in the following  action or erb file, it's uncessary to make them instance variables.


I suggest that you should make them local variables.





In app/models/assignment.rb:


@assignments is not suggestive, because it is not used outside of this method, it is unnecessary to make it a instance variable.


I suggest that you should make it a local variable.





By the way, the pull request changed the schema logic, it decreased the limit of digital_certificate and public_key from 16777215 to 65535, which are irrelevant to this assignment. 


I suggest that you restore the schema.rb file."
0,"Pull request link is not provided.


The update method in app/controllers/assignments_controller.rb is too lengthy. The code for moving the files to the new directory can be made as a separate method and that can be called in the update method, because update here means updating an assignment.  Every method should do its specific task. So putting more functionalities in one method is not a good practice."
0,"Code is working and the team has really done a good job to solve their problem statement. However, there are a lot of nuances of being a good developer who contributes to open source projects. Code has been checked in with changes in files that are not actually needed. 





Example: 


app/views/assignments/edit.html.erb - changes made are not required


db/schema.rb - changes made are not required


spec/controllers/assignments_controller_spec.rb - changes made are not required


spec/models/assignment_spec.rb - commented sections needs to be removed (redundancy and cluttered"
0,They have followed the Ruby style guidelines and also kept the code DRY. Some comments could be added to important parts of the code.
0,"The place where current functionality is added has become long after the change, It needs to be extracted.


Instance variables are used where it is unnecessary.  @assignments in the model, @assignment_new_path in the controller, @assignment in spec etc."
0,getting a destination path can be made a method which could take course and assignment path as a parameter and return destination path as most of the other logic has hardcoded url and it has to be at a common place.
0,"There is debug code present is spec file for ""#describe '#check_directory_path' do"". They haven't added comments to the code. Other than that it looks fine."
0,Comments could have been added
0,More comments are needed.
0,"1. The methods are short and relevant.


2. The code has been divided in to parts which do the expected operation.


3. No comments are needed because, the code method names are clear to understand the functionality of it.


4. The code follows the Ruby style.


5. I did not find any code which is DRY."
0,"All the methods are not too long. 





No comments is found in your code. 


I suggest that you should write the intention of your code in your comments. 





When processing string, too many '+' are used, which does not follow the Ruby Style Guide. 


I suggest that you could use ""#{}"" instead. 





In ""app/controllers/assignments_controller.rb"":


Line 135 seems to be redundant, since the value of dest_folder would be set to other value before use. 


I suggest that you delete this line.





It is not DRY to use @assignment = Assignment.find(params[:id]) in different actions.


I suggest that you should define a new method set_assignment to set @assignment, then make this method a before_action for all the actions that need it. 





In line 127,  statement ""if !params[:course_id].nil?"" does not follow the Ruby Style Guide.


I suggest that you change it to:


unless params[:course_id].nil?





In app/views/assignments/edit.html.erb:


It's strange that you add ""ddd""  in line 6. 


I suggest you give a good reason for that"
