Comments,Suggest_Solutions
"[5810, 5723, 2819, 3063, 3833, 3495, 430, 3561, 93, 5290, 93, 3569, 93, 3522, 625, 1419, 675, 3522, 625, 2950, 112, 2969, 93, 5833, 3428, 3098, 3646, 2640, 675, 6060, 2100, 3832, 112, 5359, 5833, 769, 3968, 4542, 3063, 112, 5833, 3428, 6210, 93, 5214, 3634, 675, 5875, 3495, 3857, 5058, 2166, 546, 1168, 977, 4791, 6418, 1936, 6169, 112, 6526, 2866, 93, 3949, 5810, 5723, 2819, 3968, 5887, 5772, 856, 3459, 4086, 3796, 4124, 1580, 112]",0
"[4097, 5810, 1801, 5771, 1679, 1149, 5810, 1385, 769, 4443, 3098, 5810, 4874, 112]",0
"[5824, 769, 313, 1402, 2035, 93, 2969, 625, 2830, 986, 3605, 4082, 4086, 1752, 112]",0
"[5824, 769, 3949, 4541, 1396, 3718, 112]",0
"[3949, 93, 3002, 3396, 5141, 625, 1402, 2807, 3098, 4086, 1752, 93, 5359, 3002, 2002, 3869, 5878, 5810, 5723, 2819, 986, 3407, 4082, 4590, 5811, 1239, 112]",0
"[6591, 93, 5824, 2819, 986, 4097, 4086, 1396, 4082, 231, 112]",0
"[3949, 93, 5810, 1239, 6354, 3605, 675, 4587, 4097, 3098, 4086, 4227, 1752, 112, 5824, 3323, 3949, 1528, 2521, 4082, 2716, 2563, 4590, 112]",0
"[625, 5810, 1239, 6354, 4587, 4082, 454, 5319, 1752, 112, 5810, 3441, 1752, 4042, 5576, 112]",0
"[3975, 3697, 3098, 4672, 2456, 112, 6150, 3265, 3968, 2111, 158, 4567, 3520, 2563, 4697, 1691, 112, 3949, 3512, 2563, 2926, 2984, 112]",0
"[972, 3905, 3323, 3776, 112, 2563, 2278, 93, 4085, 454, 6150, 1321, 4082, 5810, 2119, 4509, 675, 6010, 5928, 3903, 93, 3358, 1942, 5928, 4951, 5928, 2910, 4187, 5824, 769, 3949, 1904, 909, 3098, 5810, 4672, 2456, 5928, 2855, 6418, 5810, 732, 2521, 112]",0
"[4672, 2456, 3323, 3968, 6116, 675, 5824, 769, 3949, 3230, 4082, 2967, 667, 558, 4124, 454, 2926, 2984, 1168, 3553, 3098, 112, 5810, 6038, 93, 5892, 3348, 1929, 3869, 2830, 698, 5564, 93, 3323, 3290, 675, 5163, 2355, 112, 6526]",0
"[3949, 93, 3968, 4694, 112, 5810, 6328, 3396, 2819, 4086, 5000, 5928, 4109, 93, 675, 5810, 4672, 2456, 3323, 667, 899, 2456, 93, 6375, 2022, 3869, 3109, 698, 6148, 3165, 112]",0
"[3911, 625, 4042, 5810, 3520, 5147, 5928, 2733, 5928, 5810, 6488, 4189, 112, 2563, 2278, 93, 453, 947, 9, 3098, 6260, 2950, 5943, 3678, 5928, 454, 3522, 4042, 6169, 5801, 2792, 5280, 6109, 93, 6385, 3555, 3098, 794, 454, 4697, 112]",0
"[3265, 3323, 6243, 972, 3348, 3431, 3098, 3646, 3622, 2640, 5801, 3605, 5810, 3905, 5901, 5810, 5321, 1942, 112, 4672, 6305, 3968, 6339, 1869, 5928, 6063, 5810, 5723, 67, 6436, 675, 5811, 2640, 112]",0
"[5810, 4672, 2456, 3323, 3968, 3620, 1149, 5810, 1915, 112, 5810, 1880, 3323, 3968, 1442, 112, 6361, 3323, 2035, 3323, 3290, 1129, 3117, 112]",0
"[5372, 3141, 3338, 3098, 5810, 4525, 2278, 3098, 3150, 3141, 3323, 3968, 4541, 112, 5428, 3784, 2278, 3098, 2990, 6249, 3098, 3149, 155, 4437, 5423, 3323, 6488, 112]",0
"[5810, 5038, 1356, 1599, 2819, 986, 2548, 4155, 5810, 4524, 112]",0
"[5810, 5723, 2546, 2741, 4418, 112, 3949, 4852, 4042, 5810, 1341, 112, 2072, 4467, 6182, 112, 2967, 93, 5824, 3323, 667, 2177, 1580, 5892, 93, 6375, 3323, 93, 5810, 1415, 112, 6360, 3323, 3358, 4583, 441]",1
"[5810, 3862, 5525, 3323, 2741, 93, 1129, 5372, 1904, 5254, 977, 3089, 112]",1
"[6625, 3098, 454, 6314, 112, 5810, 5082, 2686, 1341, 2550, 1599, 112]",0
"[5810, 1341, 2550, 5810, 1414, 453, 5038, 4082, 4627, 9, 732, 5525, 430, 2866, 93, 3348, 6305, 2111, 2563, 3678, 5928, 3903, 5901, 4146, 2461, 5928, 5141, 4383, 4042, 5810, 1341, 112, 3348, 2550, 5810, 1414, 3862, 5525, 112, 2969, 93, 3098, 5372, 4230, 4042, 5810, 1341, 93, 1392, 6354, 3776, 6375, 6305, 1508, 794, 3002, 1929, 3869, 6063, 5810, 3559, 2563, 5801, 1341, 112, 4672, 2456, 6305, 3968, 4542, 1869, 2563, 4146, 6169, 3904, 5901, 711, 112]",1
"[5810, 732, 3323, 3825, 491, 5928, 5810, 5038, 4418, 1129, 3431, 5810, 6135, 4042, 5038, 2433, 5602, 794, 6210, 93, 846, 675, 509, 4739]",0
"[5810, 1341, 3323, 6243, 6339, 6481, 93, 4542, 4132, 675, 2741, 765, 112, 3949, 4852, 112, 1516, 732, 3559, 6481, 3098, 1587, 93, 2563, 2278, 93, 2931, 93, 6375, 1168, 977, 4382, 5928, 5810, 4923, 3806, 112]",1
"[5810, 1587, 769, 6345, 112]",0
"[5810, 1341, 2550, 453, 2741, 5038, 675, 4627, 1356, 4417, 9, 2619, 3864, 4363, 4042, 6249, 112]",0
"[4890, 5928, 2714, 3512, 5928, 6237, 5810, 5058]",0
"[2830, 6142, 2072, 4467, 112, 5810, 1341, 2819, 2741, 4660, 675, 2741, 3889, 1601, 769, 2546, 112, 2830, 2776, 5296, 2640, 3282, 1299, 5359, 5801, 3348, 3323, 3830, 112, 2830, 6142, 3356, 5602, 794, 2100, 3226, 4042, 2563, 675, 6385, 112]",0
"[6040, 3323, 922, 675, 3290, 112, 4657, 3678, 2456, 3323, 642, 6339, 1869, 112]",0
"[5810, 4672, 3323, 2177, 675, 2022, 3968, 1548, 5810, 558, 493, 3165, 112, 3348, 67, 2812, 5928, 3903, 783, 5810, 3265, 675, 1912, 6369, 625, 5810, 2647, 3323, 112]",0
"[6038, 3578, 3940, 1129, 3002, 2596, 5810, 3348, 5928, 977, 454, 1048, 1508, 112, 5810, 4807, 1028, 6150, 93, 2926, 2984, 675, 4697, 3323, 3968, 722, 112, 3348, 6461, 2861, 3025, 3348, 1639, 977, 2340, 3098, 1901, 3098, 5810, 4672, 2456, 112]",1
"[5810, 3265, 6305, 5301, 112, 5372, 4042, 5810, 2452, 3183, 6354, 3968, 3697, 3495, 2563, 1686, 2926]",0
"[4890, 5928, 2714, 3512, 5928, 6237, 5810, 5058, 112, 1129, 3002, 2048, 5810, 6517, 2456, 5928, 5141, 3025, 5824, 3323, 558, 1695, 3098, 4672, 2456, 675, 3348, 6305, 3968, 5824, 112]",0
"[5810, 6150, 3265, 3323, 2111, 5928, 6135, 675, 5810, 4672, 2456, 3323, 2359, 112]",0
"[2768, 6038, 112, 558, 1744, 3578, 6243, 4506, 112]",0
"[1580, 5763, 1201, 2830, 986, 1659, 93, 1129, 3949, 3796, 5763, 1201, 1168, 977, 5151, 112]",0
"[5786, 2298, 2563, 5810, 1580, 1129, 3968, 3806, 112]",0
"[5406, 2539, 3323, 3968, 5824, 112, 5824, 769, 5372, 5786, 3098, 5810, 5763, 2539, 112]",0
"[3002, 6305, 462, 5928, 1253, 2563, 5810, 4697, 675, 2926, 2984, 112, 5372, 4042, 5810, 2647, 4042, 454, 4697, 675, 2940, 6354, 3869, 6445, 112]",0
"[6501, 6510, 2830, 5810, 5786, 6481, 112]",0
"[5810, 974, 5763, 769, 6481, 112, 5372, 732, 5411, 5786, 1168, 977, 6481, 112]",1
"[5824, 769, 4097, 2601, 1402, 6274, 675, 3949, 4541, 1396, 3718, 112, 3171, 1396, 2819, 309, 2456, 1239, 112]",0
"[625, 1402, 6354, 3605, 4082, 4086, 1752]",0
"[3348, 5150, 5801, 5824, 3323, 4097, 4086, 5723, 3691, 4590, 1239, 112]",0
"[3578, 3495, 5810, 5723, 2819, 1405, 5810, 4524, 794, 454, 6392, 112, 1111, 2506, 769, 2035, 3138, 112]",0
"[5810, 4524, 2819, 5598, 3882, 3348, 67, 6219, 675, 2636, 3887, 491, 5928, 5810, 4465, 112, 5833, 769, 6068, 2574, 6360, 5810, 3679, 112, 1129, 5810, 4524, 3431, 698, 2012, 3273, 93, 794, 6339, 794, 454, 4541, 2381, 4672, 2456, 112, 3428, 4042, 1341, 2012, 3628, 3348, 5961, 2563, 5810, 4978, 5928, 3625, 5176, 4042, 5810, 1341, 112, 708, 2619, 5801, 93, 5810, 1880, 4042, 5810, 1746, 5095, 3323, 3869, 3966, 5928, 3852, 2378, 93, 6375, 3628, 1745, 2228, 4760, 112]",0
"[5810, 3862, 5525, 3323, 1444, 112, 675, 972, 2655, 2830, 986, 2488, 112]",0
"[5810, 3796, 675, 1580, 769, 6339, 1886, 112, 2100, 3730, 1662, 454, 5319, 2647, 4, 2741, 3375]",0
"[2619, 6360, 3002, 5141, 3348, 3578, 3495, 1341, 6316, 2830, 5151, 3098, 1295, 112, 652, 3098, 5810, 3796, 1299, 93, 5833, 2002, 3869, 2830, 698, 846, 1028, 3806, 112]",0
"[5810, 1341, 3359, 727, 5928, 977, 6243, 1304, 3428, 4042, 5082, 86, 4124, 5810, 5520, 2046, 5082, 5801, 3348, 4448, 87, 3683, 5824, 67, 454, 3586, 3475, 1759, 1341, 3098, 5810, 2461, 112, 625, 5810, 3141, 675, 6220, 3887, 724, 5928, 2543, 1599, 794, 6339, 112, 5882, 1310, 93, 4082, 2665, 3217, 93, 724, 5928, 5487, 2619, 5810, 2397, 5801, 5810, 732, 2612, 2022, 3989, 3917, 2647, 112, 5810, 1341, 5801, 67, 5824, 3323, 1303, 5892, 112]",1
"[4171, 93, 5810, 1341, 3578, 2484, 112, 2741, 1341, 3323, 5164, 94, 5359, 93, 6511, 1341, 1639, 977, 3089, 1150, 1392, 3098, 625, 4895, 4333, 112, 3625, 6135, 4063, 3558, 4567, 1149, 5014, 675, 914, 6184, 453, 4592, 9, 3098, 1341, 112]",1
"[5810, 1341, 3323, 5527, 794, 4269, 972, 4627, 3967, 112, 5810, 1708, 4112, 4112, 507, 1639, 2830, 2546, 5810, 6186, 3967, 5799, 1733, 507, 1805, 112, 5810, 5025, 1497, 1639, 2830, 986, 3837, 2137, 1805, 6184, 3662, 5799, 1808, 2100, 5025, 5189, 112]",1
"[625, 6169, 2830, 5811, 4179, 3796, 1587, 112, 5810, 1341, 3323, 2549, 5038, 4082, 4627, 5456, 1129, 5824, 769, 5372, 1767, 453, 4592, 9, 5801, 5255, 4838, 112]",1
"[5810, 6150, 3265, 3323, 6243, 5301, 93, 1312, 675, 5509, 112, 1129, 3348, 3431, 1864, 6369, 3348, 5251, 2830, 986, 2375, 112, 2563, 2278, 93, 593, 5286, 6109, 2563, 5810, 2493, 5915, 93, 5810, 6150, 3323, 1956, 1149, 5928, 5810, 3561, 4185, 5928, 3561, 600, 112, 5882, 3323, 3968, 6243, 6150, 2616, 93, 675, 3323, 4639, 4760, 112, 4086, 3859, 906, 5277, 3098, 593, 1686, 667, 493, 112, 642, 93, 5810, 732, 5251, 1795, 6373, 3002, 53, 454, 4697, 4124, 454, 2940, 4124, 667, 558, 2619, 5810, 2166, 3006, 3002, 2219, 112, 3002, 5251, 858, 3996, 2830, 5928, 5418, 2563, 2940, 4124, 4697, 464, 3864, 5000, 112]",1
"[5810, 6038, 3323, 972, 794, 4042, 3996, 112, 5810, 69, 4509, 8, 3512, 3323, 1104, 112]",1
"[5810, 3265, 3323, 2741, 93, 1303, 675, 6243, 2111, 5928, 6135, 112]",0
"[5833, 769, 5301, 3520, 5928, 4189, 6375, 2022, 5745, 6510, 6369, 5928, 2733, 5359, 3348, 67, 2484, 112]",0
"[625, 5810, 1134, 2002, 6360, 5833, 5076, 5833, 2002, 769, 4618, 2741, 112, 4618, 4720, 93, 3002, 1168, 1321, 4082, 5832, 1133, 675, 5810, 2314, 1000, 4035, 112, 3348, 67, 454, 3536, 6335, 5928, 2830, 5928, 5158, 6373, 3002, 6298, 5928, 3553, 3098, 794, 454, 2926, 2984, 93, 454, 4697, 93, 4124, 5810, 558, 856, 5810, 3561, 5106, 93, 675, 5801, 3348, 2022, 3869, 6436, 6420, 5160, 5810, 4992, 6150, 6030, 112, 6526, 6080, 93, 3646, 1133, 2002, 3968, 2002, 6360, 5833, 5076, 93, 4124, 4748, 5810, 732, 5928, 454, 1759, 4185, 112, 2868, 769, 5810, 2640, 6375, 2002, 3968, 6436, 430, 217, 866, 5928, 1822, 4681, 2253, 1422, 3628, 6510, 6249, 4681, 2253, 1422, 1902, 3163, 112, 3196, 5810, 5058, 112, 286, 866, 5928, 69, 8, 703, 67, 3968, 454, 4681, 2253, 1422, 5909, 454, 364, 112, 334, 794, 454, 4697, 93, 3002, 6008, 5928, 6114, 1422, 3165, 675, 3864, 1229, 6305, 4800, 112, 360, 5810, 3522, 454, 2926, 2574, 2819, 30, 1422, 8, 794, 3358, 5579, 1131, 6526, 5824, 769, 642, 3646, 5875, 3002, 2314, 5928, 977, 462, 5928, 2002, 5801, 5824, 6354, 3968, 1133, 4124, 3520, 2563, 112]",1
"[5810, 6038, 3323, 2155, 1129, 3290, 112, 5810, 3520, 2830, 3571, 1877, 3887]",0
"[6501, 3348, 3323, 1858, 4082, 2871, 112]",0
"[5810, 3561, 174, 5290, 3832, 5150, 5928, 977, 6339, 5772, 4042, 625, 5810, 4146, 3806, 675, 1587, 3098, 5810, 4511, 112, 1129, 5882, 3832, 2819, 454, 2054, 112, 3348, 1764, 6418, 5897, 5689, 93, 5810, 4709, 93, 5810, 2944, 675, 5810, 558, 112, 2077, 5928, 5882, 3414, 4042, 5155, 93, 5824, 3323, 454, 4852, 4042, 1745, 3002, 5810, 1746, 93, 3025, 698, 6150, 6461, 3495, 5928, 5290, 794, 1074, 112, 642, 93, 3348, 6461, 3625, 3348, 1942, 5928, 2797, 1449, 794, 5810, 732, 2778, 112, 491, 5928, 3678, 93, 3358, 1024, 5928, 858, 1195, 5810, 5689, 4042, 4709, 675, 2926, 2990, 3282, 4089, 5810, 4146, 2640, 769, 3968, 6393, 3063, 93, 4097, 5810, 1708, 4112, 4805, 5928, 5890, 769, 3063, 93, 2866, 3968, 3852, 1639, 977, 4976, 464, 5780, 112]",1
"[5810, 4524, 3919, 6210, 4082, 625, 2452, 86, 3002, 6305, 462, 5928, 2218, 4635, 6216, 3098, 2166, 543, 93, 3786, 4009, 2452, 87, 112, 5372, 4042, 5810, 539, 2640, 6354, 3776, 86, 2468, 3201, 93, 5141, 6390, 2819, 531, 3864, 2926, 5928, 5811, 3201, 3522, 2254, 87, 112, 5810, 4524, 3323, 6339, 1512, 675, 3905, 3323, 2111, 112, 4171, 3348, 3578, 6243, 1303, 675, 3290, 4, 6526]",0
"[3002, 2002, 3869, 5878, 5810, 5763, 2819, 986, 2488, 112, 5810, 1580, 5763, 2456, 3323, 972, 2177, 675, 5810, 5058, 2177, 3098, 5810, 3796, 5763, 2456, 112]",1
"[3949, 93, 3968, 4694, 112, 3949, 6150, 6030, 2819, 625, 5810, 2647, 3098, 5882, 4965, 67, 1253, 1082, 93, 3852, 3475, 625, 5810, 2647, 5416, 3098, 5810, 4524, 1873, 112, 3642, 3217, 4042, 5810, 5763, 2539, 4961, 5801, 625, 5810, 3796, 675, 1580, 5786, 769, 2177, 93, 794, 769, 5810, 2509, 112]",0
"[3949, 93, 5780, 3323, 3968, 1659, 6507, 112]",0
"[6501, 93, 5810, 5723, 5150, 5928, 2830, 5772, 5811, 6178, 1445, 5801, 2800, 3561, 93, 3569, 675, 4146, 6150, 5285, 6210]",0
"[558, 675, 4697, 67, 2640, 769, 4215, 6445, 112, 3646, 4146, 2433, 3916, 5928, 3058]",0
"[5810, 4524, 4097, 2819, 331, 1402, 93, 625, 4100, 454, 5319, 1752, 112, 5359, 6501, 93, 3348, 1154, 3869, 977, 5057, 5801, 5810, 4524, 6305, 3063, 4124, 1914, 4169, 454, 4286, 4042, 5917]",0
"[5810, 1341, 6305, 4451, 6121, 3098, 5810, 2191, 86, 4587, 2619, 689, 4864, 87, 675, 2866, 3002, 1639, 3968, 5141, 698, 4795, 1402, 112]",0
"[3002, 1168, 3968, 5141, 5810, 1444, 1924, 4492, 93, 5810, 4097, 1396, 3098, 5810, 2716, 3323, 2806, 4082, 3836, 93, 5810, 6330, 4042, 419, 112]",0
"[3949, 112, 5833, 4097, 2830, 331, 1402, 675, 208, 1085, 5359, 5801, 3683, 5833, 6296, 6102, 5810, 3441, 3767, 5928, 2002, 5873]",0
"[3002, 1168, 3968, 741, 5882, 981, 2002, 3968, 1009, 5833, 1929, 5811, 1918, 3098, 5810, 3518, 4864, 112, 5824, 3323, 4097, 4086, 1396, 93, 6369, 625, 5810, 2647, 6305, 531, 112, 3002, 656, 3108, 5928, 5076, 5810, 5723, 6305, 3968, 510, 1917, 4169, 5810, 4524, 4286, 112]",1
"[3098, 5954, 93, 5824, 769, 4097, 331, 1402, 2035, 4]",0
"[3949, 93, 491, 5928, 5810, 2714, 2900, 93, 5824, 2819, 3968, 986, 3949, 1239, 4587, 593, 4037, 281]",0
"[3002, 1639, 5141, 4097, 4086, 4292, 67, 1402, 112, 2100, 5723, 3693, 5928, 1571, 5928, 2714, 112]",1
"[5810, 3806, 93, 6261, 675, 1587, 2830, 986, 4542, 1886, 675, 3063, 112]",0
"[3841, 4042, 5810, 4418, 2830, 986, 2546]",0
"[5810, 5038, 5394, 1341, 727, 5928, 2543, 5014, 1601, 93, 675, 6182, 454, 2447, 4627, 846, 112, 5810, 1963, 3887, 675, 4524, 5525, 724, 5928, 2543, 2741, 5014, 3862, 1601, 112, 5394, 1341, 3323, 4136, 675, 6058, 5941, 112]",0
"[5810, 1341, 3323, 6486, 6339, 112]",0
"[6243, 2741, 5525, 93, 4661, 675, 3887, 769, 6243, 4822, 5928, 5810, 2647]",0
"[5810, 1341, 3323, 3912, 675, 4428, 6418, 4541, 5525, 675, 1392]",0
"[5810, 4171, 6038, 3323, 2741, 93, 1129, 5824, 1168, 977, 5372, 3092, 3605, 4082, 5810, 558, 4212, 4042, 5810, 711, 112, 6316, 3916, 5928, 1229, 5810, 3512, 3643, 5928, 2191, 6109, 856, 5810, 558, 1744, 112]",0
"[5810, 6038, 3323, 3842, 2111, 5928, 6135, 93, 1129, 5810, 4672, 3323, 3911, 6076, 112]",0
"[2741, 1880, 675, 2111, 5928, 6135, 112]",0
"[5810, 1858, 3512, 3323, 3968, 481, 112, 5810, 4672, 2456, 1870, 5810, 4496, 2563, 3396, 558, 3561, 1129, 3968, 2563, 5810, 1518, 5492]",0
"[5810, 6038, 3323, 5507, 2590, 675, 2111, 5928, 6135, 112, 5810, 3059, 4042, 5810, 3707, 963, 3628, 3348, 3574, 1024, 112, 5892, 5824, 3323, 454, 5101, 2563, 3091, 112, 5810, 558, 3512, 3098, 5810, 4672, 2456, 3323, 3968, 6445, 112]",0
"[3940, 6150, 3265, 93, 2741, 6135, 3453, 112, 1129, 6050, 5928, 3553, 3098, 794, 558, 93]",0
"[6038, 3323, 3941, 2036, 5824, 769, 454, 2447, 5875, 5801, 1168, 977, 3089, 430, 6526, 217, 1312, 625, 174, 3522, 625, 2950, 2450, 4085, 454, 5121, 4204, 2819, 986, 2724, 286, 2002, 3968, 5260, 4728, 4015, 3006, 3098, 3191, 112, 3676, 5376, 3837, 6148, 112]",1
"[1580, 2819, 986, 5772, 6526]",0
"[5833, 5772, 856, 3459, 4086, 1580, 93, 1129, 3960, 4042, 5810, 3806, 112]",0
"[5810, 5723, 2819, 531, 2647, 2563, 3561, 5901, 2747, 5278, 93, 1129, 3002, 1639, 3869, 6237, 3348, 67, 6449]",0
"[5810, 4697, 675, 2926, 2984, 1587, 6436, 794, 1892, 3098, 3841, 1201, 5892, 5824, 769, 5372, 1201, 6375, 3916, 5928, 977, 544, 112, 5824, 3323, 454, 3916, 5928, 6201, 5810, 4681, 2253, 1691, 2574, 112]",1
"[2375, 5780, 6305, 2035]",0
"[6501, 112]",0
"[5723, 6305, 509, 5893, 5810, 4496]",0
"[3949, 93, 5810, 3623, 4042, 5810, 6436, 6305, 4587, 4082, 207, 112, 3348, 3323, 667, 3085, 4502, 3025, 5833, 2748, 625, 4042, 5882, 2035, 3098, 5810, 4242, 6330, 112]",0
"[5824, 769, 3646, 1402, 6375, 769, 1998, 634, 2235, 1028, 625, 5729]",0
"[6501, 464, 405, 1402, 6354, 2035]",0
"[1341, 1396, 2610, 3323, 2741, 112]",0
"[5810, 1341, 3323, 6243, 6339, 6481, 675, 784, 5928, 977, 2108, 6068, 112, 3949, 2386, 1341, 4124, 6105, 1341, 6274, 112, 2072, 4467, 2830, 986, 3063, 6243, 6339, 112]",0
"[6243, 1316, 1341]",0
"[3002, 5878, 3348, 2022, 4453, 6339, 5928, 2543, 5837, 9, 2741, 5038, 675, 4627, 1356, 4418, 9, 112, 3348, 3323, 2153, 675, 2550, 5810, 2072, 1341, 746, 112]",0
"[5882, 5723, 2819, 2546, 5810, 972, 5525, 2546, 3098, 2265, 5038, 4082, 4627, 732, 6375, 3605, 3864, 5714, 2107, 5928, 479, 2461, 675, 6063, 5811, 3559, 112, 4542, 1869, 4672, 2456, 675, 642, 4086, 539, 4259, 2724, 6418, 732, 6305, 2207, 5928, 2723, 3678, 4541, 6071, 4042, 5810, 3833, 112]",0
"[4672, 2456, 1550, 2207, 3165, 5928, 6063, 5810, 4524, 3059, 974, 112]",0
"[4355, 1961, 5711, 6169, 6369, 5928, 5277, 6109, 112]",1
"[5810, 6150, 3265, 3323, 6243, 3290, 675, 2111, 5928, 6135, 112, 3348, 3323, 6243, 6339, 2340, 3098, 5810, 4672, 2456, 112, 5810, 5491, 5928, 5043, 5810, 1341, 769, 1869, 794, 6339, 112]",0
"[6501, 93, 5810, 6150, 3265, 3323, 3290, 675, 2111, 5928, 6135, 112, 642, 93, 5810, 4672, 2456, 2819, 986, 4277, 1869, 5928, 2723, 5810, 4541, 3011, 4042, 5810, 2521, 675, 3561, 1695, 4042, 667, 558, 112]",0
"[972, 5080, 2686, 5786, 909, 112]",0
"[6501, 93, 2619, 6360, 3002, 1639, 5141, 93, 5833, 2830, 2035, 6339, 3098, 5780, 856, 3459, 4086, 3796, 675, 4086, 1580, 112]",0
"[5723, 2819, 4277, 3063, 3622, 3833, 675, 642, 5833, 2830, 3063, 5810, 2383, 1699, 4383, 112, 3002, 6008, 5928, 3561, 6418, 3293, 1695, 4124, 5372, 3293, 4240, 3473, 430, 1129, 5824, 6354, 6210, 112, 2866, 93, 5833, 2830, 4277, 2536, 4082, 5882, 4230, 5941, 675, 5772, 3348, 112, 6526, 3002, 1009, 5882, 2819, 3063, 454, 5901, 5763, 4042, 856, 3459, 4086, 3832, 675, 1580, 112]",0
"[5229, 3508, 1402, 6418, 2741, 2350, 909, 112]",0
"[5748, 2819, 4542, 6142, 2714, 675, 4097, 4587, 5810, 1239, 6366, 3915, 675, 642, 93, 1529, 5904, 5810, 4524, 4286, 112]",0
"[6339, 6481, 1341, 112]",0
"[3968, 454, 3586, 4042, 1341, 5928, 997, 6418, 1129, 6361, 3323, 5824, 5150, 1149, 1356, 4417, 3967, 112, 3841, 4042, 5810, 1341, 5150, 5928, 977, 1389]",0
"[5810, 1341, 968, 3323, 6243, 3763, 112, 3646, 2640, 769, 3968, 3063, 112]",0
